College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
USA,"Augustana College, Rock Island","Illinois, Usa","{'Tuition Fees': '₹39.81L/Yr\xa0($47,766/Yr)', 'Living Fees': '₹8.6L/Yr\xa0($10,314/Yr)'}",B.S Environmental Management and...,"IELTS- 6.5, PTE- 56.0","Augustana College: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/138941 Logo.png?h=90&w=90&mode=stretch,"{'Location': 'Rock Island, Illinois', 'School type': 'College', 'Established Year': 'Estd1860'}",,"Augustana College is a private and liberal arts college with one of the most picturesque campuses in the US, spread across the Mississippi River. The university is home to nearly 2,500 students, currently pursuing 90 majors and specialized minor programs. Some of the popular courses at Augustana College are Biology, Accounting, Communication, Engineering, Physical Sciences, Psychology, Social Sciences, and Visual and Performing Arts.",,"[{'Course Name': 'Bachelor Landscape Architecture', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 39.8 L/Yr'}, {'Course Name': 'Bachelor Theatre Arts', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 39.8 L/Yr'}]"
USA,"Iona College, New Rochelle","New York, Usa","{'Tuition Fees': '₹34.24L/Yr\xa0($41,089/Yr)', 'Living Fees': '₹12.36L/Yr\xa0($14,832/Yr)'}",M.B.A,IELTS- 6.5,"Iona College: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1708_01-17:47_images.png?h=90&w=90&mode=stretch,"{'Location': 'New Rochelle, New York', 'School type': 'College', 'Established Year': 'Estd1940'}",7.5,,,"[{'Course Name': 'Master of Science [M.S] Project Management', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 30.1 L/Yr'}, {'Course Name': 'Master of Science [M.S] Finance', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 30.1 L/Yr'}]"
USA,"Berry College, Mount Berry","Georgia, Usa","{'Tuition Fees': '₹32.66L/Yr\xa0($39,183/Yr)', 'Living Fees': '₹10.22L/Yr\xa0($12,260/Yr)'}",M.B.A,"GMAT- 500.0, IELTS- 6.5","Berry College: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1675_04-23:58_berrycollegeseal.png?h=90&w=90&mode=stretch,"{'Location': 'Mount Berry, Georgia', 'School type': 'College', 'Established Year': 'Estd1902'}",,,"[{'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (7th Jul 2024)\nApplication Deadline For Spring 2025 Intake (1st Nov 2024)', 'Fees': 'INR 10.8 L/Yr', 'Exams Score': 'GMAT: 500.0, IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'B.S Mathematics - Computer Science (4 years)', 'Important Dates': 'Regular Decision Deadline For 2025 Intake (15th Jan 2025)\nScholarship Application Deadline For 2025 Intake (15th Feb 2025)\nNotification Begins (1st Mar 2025)\nDeposit Deadline For 2025 Intake (1st May 2025)', 'Fees': 'INR 33.5 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 90.0, Duolingo: 115.0'}, {'Program Type': 'B.A Communication - Public Relations (Minor) (4 years)', 'Important Dates': 'Regular Decision Deadline For 2025 Intake (15th Jan 2025)\nScholarship Application Deadline For 2025 Intake (15th Feb 2025)\nNotification Begins (1st Mar 2025)\nDeposit Deadline For 2025 Intake (1st May 2025)', 'Fees': 'INR 33.5 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 90.0, Duolingo: 115.0'}, {'Program Type': 'B.A English (4 years)', 'Important Dates': 'Regular Decision Deadline For 2025 Intake (15th Jan 2025)\nScholarship Application Deadline For 2025 Intake (15th Feb 2025)\nNotification Begins (1st Mar 2025)\nDeposit Deadline For 2025 Intake (1st May 2025)', 'Fees': 'INR 33.5 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 90.0, Duolingo: 115.0'}, {'Program Type': 'B.S Environmental Science (4 years)', 'Important Dates': 'Regular Decision Deadline For 2025 Intake (15th Jan 2025)\nScholarship Application Deadline For 2025 Intake (15th Feb 2025)\nNotification Begins (1st Mar 2025)\nDeposit Deadline For 2025 Intake (1st May 2025)', 'Fees': 'INR 33.5 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 90.0, Duolingo: 115.0'}, {'Program Type': 'B.A Environmental Studies (4 years)', 'Important Dates': 'Regular Decision Deadline For 2025 Intake (15th Jan 2025)\nScholarship Application Deadline For 2025 Intake (15th Feb 2025)\nNotification Begins (1st Mar 2025)\nDeposit Deadline For 2025 Intake (1st May 2025)', 'Fees': 'INR 33.5 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 90.0, Duolingo: 115.0'}]","[{'Course Name': 'Bachelor of Arts [B.A] Communication - Public Relations (Minor)', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jan, 2025', 'Application Fees': 'INR 33.5 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] Finance', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jan, 2025', 'Application Fees': 'INR 33.5 L/Yr'}]"
USA,"Elizabethtown College, Elizabethtown","Pennsylvania, Usa","{'Tuition Fees': '₹30.14L/Yr\xa0($36,166/Yr)', 'Living Fees': '₹9.16L/Yr\xa0($10,990/Yr)'}",M.Ed Curriculum and Instruction ...,,"Elizabethtown College: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1274_01-12:10_download-(1).jpeg?h=90&w=90&mode=stretch,"{'Location': 'Elizabethtown, Pennsylvania', 'School type': 'College', 'Established Year': 'Estd1899'}",,"Elizabethtown College, a private institution promotes a dynamic, integrated learning process grounded in liberal arts. Elizabethtown College offers programs at associate, bachelor, and masters levels. The college enrols 1497 undergraduate students with 1% international population.",,"[{'Course Name': 'Bachelor of Science [B.S] Business Administration - Marketing', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 30.1 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] Computer Science', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 30.1 L/Yr'}]"
USA,"Augustana University, Sioux Falls","South Dakota, Usa","{'Tuition Fees': '₹30.76L/Yr\xa0($36,905/Yr)', 'Living Fees': '₹6.67L/Yr\xa0($8,008/Yr)'}",M.A Sports Administration and Le...,"IELTS- 6.0, PTE- 56.0","Augustana University: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2042_26-18:40_download-(6).png?h=90&w=90&mode=stretch,"{'Location': 'Sioux Falls, South Dakota', 'School type': 'University', 'Established Year': 'Estd1860'}",,,,"[{'Course Name': 'Bachelor International Studies', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 31.8 L/Yr'}, {'Course Name': 'Master of Arts [M.A] Sports Administration and Leadership', 'Course Duration': '5 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 16.2 L/Yr'}]"
USA,"California Institute of the Arts, Valencia","California, Usa","{'Tuition Fees': '₹45.37L/Yr\xa0($54,440/Yr)', 'Living Fees': '₹9.8L/Yr\xa0($11,757/Yr)'}",M.F.A Graphic Design,IELTS- 7.0,"California Institute of the Arts [Cal Arts]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2006_16-12:58_CAl-Logo.png?h=90&w=90&mode=stretch,"{'Location': 'Valencia, California', 'School type': 'University', 'Established Year': 'Estd1970'}",,The institute provides a list of off-campus housing resources. Monticello Apartments and Jefferson Vista Canyon Apartments are located close to the campus.,"[{'Program Type': 'M.F.A Graphic Design (2 years)', 'Important Dates': 'Application Deadline For Fall 2025 Intake (1st Dec 2024)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0'}, {'Program Type': 'B.F.A Character Animation (4 years)', 'Important Dates': 'Application Deadline For Fall 2025 Intake (1st Dec 2024)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'B.F.A Graphic Design (4 years)', 'Important Dates': 'Application Deadline For Fall 2025 Intake (1st Dec 2024)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.F.A Art and Technology (2 years)', 'Important Dates': 'Application Deadline For Fall 2025 Intake (1st Dec 2024)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0'}, {'Program Type': 'B.F.A Acting (4 years)', 'Important Dates': 'Application Deadline For Fall 2025 Intake (1st Dec 2024)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.F.A Film and Video (3 years)', 'Important Dates': 'Application Deadline For Fall 2025 Intake (1st Dec 2024)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0'}]","[{'Course Name': 'Bachelor of Fine Arts [B.F.A] Character Animation', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Dec, 2024', 'Application Fees': 'INR 45.4 L/Yr'}, {'Course Name': 'Master of Fine Arts [M.F.A] Graphic Design', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Dec, 2024', 'Application Fees': 'INR 45.4 L/Yr'}]"
USA,"Linfield College, McMinnville","Oregon, Usa","{'Tuition Fees': '₹40.57L/Yr\xa0($48,680/Yr)', 'Living Fees': '₹10.32L/Yr\xa0($12,380/Yr)'}",B.S Athletic Training,"Duolingo- 105.0, IELTS- 6.5","Linfield College, USA: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1608_11-15:20_fc.jpeg?h=90&w=90&mode=stretch,"{'Location': 'McMinnville, Oregon', 'School type': 'College', 'Established Year': 'Estd1858'}",6.8,"Founded in 1858, Linfield College is a private, co-educational institution located in McMinnville, Oregon, USA. It has two campuses and the other campus at Portland houses the Linfield-Good Samaritan School of Nursing offering nursing programs to non-traditional and adult students to complete their bachelor’s degree. The school changed its name to Linfield University in July with a College of Arts and Sciences, School of Business and School of Nursing. The college primarily offers undergraduate degrees with over 50 majors and 2 master’s degrees for higher education in US. Linfield Online and Continuing Education offers fully online programs to working adults. The institution is accredited by the Northwest Commission on Colleges and Universities.",,"[{'Course Name': 'Bachelor Creative Writing', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 40.6 L/Yr'}, {'Course Name': 'Bachelor Physics', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 40.6 L/Yr'}]"
USA,"University of Northern Iowa, Cedar Falls","Iowa, Usa","{'Tuition Fees': '₹26.16L/Yr\xa0($31,394/Yr)', 'Living Fees': '₹7.32L/Yr\xa0($8,781/Yr)'}",M.A Mental Health Counseling,"IELTS- 6.0, PTE- 52.0","University of Northern Iowa: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/3000 Logo.png?h=90&w=90&mode=stretch,"{'Location': 'Cedar Falls, Iowa', 'School type': 'University', 'Established Year': 'Estd1876'}",8.5,"University of Northern Iowa is a public university currently home to 11,000 students. Students have access to high-level learning, faculty support, and career development while pursuing their academic interests. Programs at University of Northern Iowa include over 150 undergraduate and graduate courses. The University of Northern Iowa also offers three different MBAs",,"[{'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 28.9 L/Yr'}, {'Course Name': 'Master of Arts [M.A] Mental Health Counseling', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 28.9 L/Yr'}]"
USA,"Brigham Young University - Idaho, Rexburg","Idaho, Usa","{'Tuition Fees': '₹7.17L/Yr\xa0($8,600/Yr)', 'Living Fees': '₹3.83L/Yr\xa0($4,592/Yr)'}",B.S Data Science,"IELTS- 6.0, PTE- 46.0","Brigham Young University - Idaho: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1902_06-15:25_byui-Logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Rexburg, Idaho', 'School type': 'University', 'Established Year': 'Estd1888'}",8.5,,"[{'Program Type': 'B.S Data Science (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)', 'Fees': 'INR 7.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 66.0, PTE: 46.0'}, {'Program Type': 'B.S Computer Engineering (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)', 'Fees': 'INR 7.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 66.0, PTE: 46.0'}, {'Program Type': 'B.S Agriculture Technology (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)', 'Fees': 'INR 7.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 66.0, PTE: 46.0'}, {'Program Type': 'B.S Psychology (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)', 'Fees': 'INR 7.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 66.0, PTE: 46.0'}, {'Program Type': 'B.S Mechanical Engineering (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)', 'Fees': 'INR 7.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 66.0, PTE: 46.0'}, {'Program Type': 'B.S Biology (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)', 'Fees': 'INR 7.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 66.0, PTE: 46.0'}]","[{'Course Name': 'Bachelor of Science [B.S] Agriculture Technology', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Jul, 2024', 'Application Fees': 'INR 7.2 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] Computer Engineering', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Jul, 2024', 'Application Fees': 'INR 7.2 L/Yr'}]"
USA,"Albion College, Albion","Michigan, Usa","{'Tuition Fees': '₹46.03L/Yr\xa0($55,226/Yr)', 'Living Fees': '₹10.18L/Yr\xa0($12,210/Yr)'}",B.A Finance,"IELTS- 6.5, PTE- 53.0","Albion college: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_894_11-15:37_logo1.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Albion, Michigan', 'School type': 'College', 'Established Year': 'Estd1835'}",,"Ranked among the top 200 universities in the USA by Times Higher Education, Albion College is a renowned liberal arts college established back in 1835. Known for its academic excellence and career oriented curriculum, Albion is home to 1,506 students, of which 1.2% are international students from diverse countries across the globe. The college offers over 59 majors and 51 minors through its 23 academic departments including accounting, computer science, psychology, law, and marketing. Check: Albion College Programs ",,"[{'Course Name': 'Bachelor of Arts [B.A] Economics and Management', 'Course Duration': '4 years', 'Course Degree': 'Honours, On Campus', 'Course Language': 'English', 'Application Fees': 'INR 46 L/Yr'}, {'Course Name': 'Bachelor German', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 46 L/Yr'}]"
