College Name and Place,Logo Link
"{'Name': 'Christ Institute of Technology - [CIT]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469877866logo.cit.png?h=43&w=43&mode=stretch
"{'Name': 'R V S College of Engineering and Technology - [RVSCET]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470719572logo.png?h=43&w=43&mode=stretch
"{'Name': 'Achariya School of Business & Technology - [ASBT]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/14865593491394100349a.png?h=43&w=43&mode=stretch
"{'Name': 'Alpha College of Engineering & Technology', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470398254logo.alpha.png?h=43&w=43&mode=stretch
"{'Name': 'Achariya Arts and  Science College - [AASC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1417596500h.jpg?h=43&w=43&mode=stretch
"{'Name': 'Avvaiyar Government College for Women - [AGCW]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1411707884AG LOGO.jpg?h=43&w=43&mode=stretch
"{'Name': 'Dr SRK Government Arts College', 'Location': 'Yanam, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470461999logo dr.png?h=43&w=43&mode=stretch
"{'Name': 'Idhaya Arts and Science College for Women', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/col1946.jpg?h=43&w=43&mode=stretch
"{'Name': 'Kanchi Mamunivar Centre for Post Graduate Studies -   [KMCPGS]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469614529kmcpgslogo1.png?h=43&w=43&mode=stretch
"{'Name': 'Perunthalaivar Kamarajar Government Arts College', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469778706logo.png?h=43&w=43&mode=stretch
"{'Name': 'Tagore Art College - [TAC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470136716logo.tac.jpg?h=43&w=43&mode=stretch
"{'Name': 'Bharathiar Palkalaikoodam', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469875769logo.new.png?h=43&w=43&mode=stretch
"{'Name': 'Indira Gandhi Institute of Dental Sciences - [IGIDS]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1395143145Indira Gandhi Institute of Dental Science.png?h=43&w=43&mode=stretch
"{'Name': 'Indira Gandhi Institute of Dental Sciences - [IGIDS]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Indira Gandhi Institute of Dental Sciences - [IGIDS]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Achariya School Tourism and Hotel Management - [ASTHM]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1599727526Logo.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry Institute of  Hotel Management & Catering Technology - [PIHMCT]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1423215564zoutons-online-coupons.jpg?h=43&w=43&mode=stretch
"{'Name': 'Dr. Ambedkar Government Law College - [AGLC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1635224672LawCollegeLogo111.jpg?h=43&w=43&mode=stretch
"{'Name': 'Aarupadai Veedu Medical College - [AVMC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1486462353139523218422.png?h=43&w=43&mode=stretch
"{'Name': 'Aarupadai Veedu Medical College - [AVMC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Aarupadai Veedu Medical College - [AVMC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'The French Institute of Pondicherry - [IFP]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1425552318png.png?h=43&w=43&mode=stretch
"{'Name': 'Sree Lakshmi Narayana Institute of Medical Sciences', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1475145202DENTA BLALA JII LOGO.png?h=43&w=43&mode=stretch
