College Name,Place,Logo Link
Tata Institute of Social Sciences - [TISS],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/15501311731450952592Untitled.jpg?h=43&w=43&mode=stretch
Assam Institute of Technology - [AIT],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424414620SQ.jpg?h=43&w=43&mode=stretch
Tezpur University,"Sonitpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/148497773357978l.jpg?h=43&w=43&mode=stretch
Barak Valley Engineering College - [BVEC],"Karimganj, Assam",https://images.collegedunia.com/public/college_data/images/logos/1584767969LogoofBarakValleyEngineeringCollege.jpg?h=43&w=43&mode=stretch
Centre for Management Studies - [CMS],"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/1473144652Untitled.1png.png?h=43&w=43&mode=stretch
Royal School of Engineering and Technology - [RSET],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1609233706rgulogo.jpg?h=43&w=43&mode=stretch
Jawaharlal Nehru School of Management Studies,"Silchar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1500876725AssamUniversitylogo.jpg?h=43&w=43&mode=stretch
Scholar's Institute of Technology and Management - [SITM],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1597051204Logo.png?h=43&w=43&mode=stretch
Anandaram Dhekial Phookan College - [ADP],"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1412055694core-0001-fdbffe852a41743b012a41e25af45789.s_group.jpg?h=43&w=43&mode=stretch
Baosi Banikanta Kakati College - [BBK],"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/col353.jpg?h=43&w=43&mode=stretch
BH College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/1411985563BH logo1.png?h=43&w=43&mode=stretch
Bimala Prasad Chaliha College,"Kamrup, Assam",https://images.collegedunia.com/public/college_data/images/logos/1412079865bpcloho1.png?h=43&w=43&mode=stretch
Bagadhar Brahma Kishan College,"Baksa, Assam",https://images.collegedunia.com/public/college_data/images/logos/1632291667download305.jpg?h=43&w=43&mode=stretch
Bahona College,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/1417280511a.jpg?h=43&w=43&mode=stretch
Bhattadev University,"Pathsala, Assam",https://images.collegedunia.com/public/college_data/images/logos/1597655640220pxBhattadevUniversitylogo.png?h=43&w=43&mode=stretch
Bapujee College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/col510.jpg?h=43&w=43&mode=stretch
Barnagar College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/1671273940index.jpg?h=43&w=43&mode=stretch
Barpeta Girls College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/col523.jpg?h=43&w=43&mode=stretch
Bengtol College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1412770385L_46699.gif?h=43&w=43&mode=stretch
Bhawanipur Anchalik College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/1416310575logo1.jpg?h=43&w=43&mode=stretch
Bhawanipur Hastinapur Bijni College - [BHB],"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/1416374844logo.jpg?h=43&w=43&mode=stretch
Bhola Nath College,"Dhubri, Assam",https://images.collegedunia.com/public/college_data/images/logos/col620.jpg?h=43&w=43&mode=stretch
Bihpuria College,"Lakhimpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1413625757bihpuria college.png?h=43&w=43&mode=stretch
Bikali College,"Goalpara, Assam",https://images.collegedunia.com/public/college_data/images/logos/1395658581Bikali College.png?h=43&w=43&mode=stretch
Birjhora Kanya Mahavidyalaya,"Bongaigaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1419923296emblem.png?h=43&w=43&mode=stretch
Biswanath College,"Sonitpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/col671.jpg?h=43&w=43&mode=stretch
Bongaigaon College,"Bongaigaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1393219377Bongaigaon College.png?h=43&w=43&mode=stretch
Cachar College,"Silchar, Assam",https://images.collegedunia.com/public/college_data/images/logos/14117332840.png?h=43&w=43&mode=stretch
Chaiduar College,"Sonitpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1395662430769.JPG?h=43&w=43&mode=stretch
Chandra Kamal Bezbaruah College - [CKB],"Jorhat, Assam","https://images.collegedunia.com/public/college_data/images/logos/1414751098img0007_05_01_01,,,.gif?h=43&w=43&mode=stretch"
Dakshin Kamrup College,"Nalbari, Assam",https://images.collegedunia.com/public/college_data/images/logos/col941.jpg?h=43&w=43&mode=stretch
Dakshin Kamrup Girls College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1413394099dakshin.jpg?h=43&w=43&mode=stretch
Darrang College,"Tezpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/col957.jpg?h=43&w=43&mode=stretch
Debraj Roy College,"Golaghat, Assam",https://images.collegedunia.com/public/college_data/images/logos/col995.jpg?h=43&w=43&mode=stretch
Demow College,"Sibsagar, Assam",https://images.collegedunia.com/public/college_data/images/logos/14154259851.jpg?h=43&w=43&mode=stretch
DeviCharan Barua Girls College - [DCB],"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/1415184925dcb-logo1.jpg?h=43&w=43&mode=stretch
Dhakuakhana College,"Lakhimpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1414828220tr1.png?h=43&w=43&mode=stretch
Dhemaji College,"Dhemaji, Assam",https://images.collegedunia.com/public/college_data/images/logos/1561440397download.jpg?h=43&w=43&mode=stretch
Dhemaji Commerce College,"Dhemaji, Assam",https://images.collegedunia.com/public/college_data/images/logos/1415095605logo123.jpg?h=43&w=43&mode=stretch
Dhing College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1415099235abhishe.jpg?h=43&w=43&mode=stretch
Dibru College,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/1415783334logo1.jpg?h=43&w=43&mode=stretch
Digboi College,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/col1085.jpg?h=43&w=43&mode=stretch
Dikhowmukh College,"Sibsagar, Assam",https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?h=43&w=43&mode=stretch
Dimoria College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/col1091.jpg?h=43&w=43&mode=stretch
Dudhnoi College,"Goalpara, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424944527dc-logo1.jpg?h=43&w=43&mode=stretch
Duliajan College,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/13957260491.png?h=43&w=43&mode=stretch
Goalpara College,"Goalpara, Assam",https://images.collegedunia.com/public/college_data/images/logos/col1395.jpg?h=43&w=43&mode=stretch
Gogamukh College,"Dhemaji, Assam",https://images.collegedunia.com/public/college_data/images/logos/col1403.jpg?h=43&w=43&mode=stretch
Goreswar College,"Baksa, Assam",https://images.collegedunia.com/public/college_data/images/logos/13957341721.png?h=43&w=43&mode=stretch
Hem Chandra Dev Goswami College - [HCDG],"Sibsagar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424238259sdhsdfnbufi.jpg?h=43&w=43&mode=stretch
Haji Anfr Ali College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1395742848Haji Anfr Ali College.png?h=43&w=43&mode=stretch
Hemo Prova Borbora Girls' College,"Golaghat, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424322619frs1.jpg?h=43&w=43&mode=stretch
Jagannath Barooah College,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426841768jaganath ............jpg?h=43&w=43&mode=stretch
Jagiroad College,"Marigaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426847955Jagiroad College.jpg?h=43&w=43&mode=stretch
Jorhat Kendriya Mahavidyalaya,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2200.jpg?h=43&w=43&mode=stretch
Joya Gogoi College - [JGC],"Golaghat, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2204.jpg?h=43&w=43&mode=stretch
Kakojan College,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/13958153462290.JPG?h=43&w=43&mode=stretch
Kaliabor College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1425727666png.png?h=43&w=43&mode=stretch
Karimganj College,"Karimganj, Assam",https://images.collegedunia.com/public/college_data/images/logos/col32850.jpg?h=43&w=43&mode=stretch
Kharupetia College,"Darrang, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426768684col2415.jpg?h=43&w=43&mode=stretch
Khowang College,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426672011jpeg.jpg?h=43&w=43&mode=stretch
Kokrajhar Government College,"Kokrajhar, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2459.jpg?h=43&w=43&mode=stretch
Lakhimpur Girls' College,"Lakhimpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1425885027ikl.png?h=43&w=43&mode=stretch
Lanka Mahavidyalaya,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426152927lm-logo1.jpg?h=43&w=43&mode=stretch
Ledo College,"Tinsukia, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2570.jpg?h=43&w=43&mode=stretch
Lumding College,"Nagaon, Assam",https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?h=43&w=43&mode=stretch
MDK Girls College - [MDKG],"Dibrugarh, Assam","https://images.collegedunia.com/public/college_data/images/logos/1425532625memem,hkihn.jpg?h=43&w=43&mode=stretch"
Madhab Choudhury College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2698.jpg?h=43&w=43&mode=stretch
Majuli College,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2858.jpg?h=43&w=43&mode=stretch
Margherita College,"Tinsukia, Assam",https://images.collegedunia.com/public/college_data/images/logos/col2923.jpg?h=43&w=43&mode=stretch
Moirabari College,"Marigaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426914999mc-logo1.jpg?h=43&w=43&mode=stretch
Moran College,"Sibsagar, Assam",https://images.collegedunia.com/public/college_data/images/logos/col3028.jpg?h=43&w=43&mode=stretch
Moridhal College,"Dhemaji, Assam",https://images.collegedunia.com/public/college_data/images/logos/1425458953jpeg.jpg?h=43&w=43&mode=stretch
Morigaon College,"Marigaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1425461193png.png?h=43&w=43&mode=stretch
Nabajyoti College,"Barpeta, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426050134png.png?h=43&w=43&mode=stretch
Nabin Chandra College,"Karimganj, Assam",https://images.collegedunia.com/public/college_data/images/logos/13959109573129.JPG?h=43&w=43&mode=stretch
Nagaon GNDG Commerce College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1393830023Nagaon G.N.D.G. Commerce College.png?h=43&w=43&mode=stretch
Naharkatiya College,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426055008png.jpg?h=43&w=43&mode=stretch
Nowgong College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/16177737411605512131592.jpg?h=43&w=43&mode=stretch
Pandu College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/col3368.jpg?h=43&w=43&mode=stretch
Panigaon Omprakash Dinodia College,"Lakhimpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426920293ui.rd.png?h=43&w=43&mode=stretch
Paschim Guwahati Mahavidyalaya,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/col3385.jpg?h=43&w=43&mode=stretch
Radha Govinda Baruah College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/13959957143577.JPG?h=43&w=43&mode=stretch
Raha College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1427181602Capture1111.jpg?h=43&w=43&mode=stretch
Rupahi College,"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1427275616logo1.jpg?h=43&w=43&mode=stretch
Saraighat College,"Dispur, Assam",https://images.collegedunia.com/public/college_data/images/logos/col4096.jpg?h=43&w=43&mode=stretch
Sibsagar Commerce College,"Sibsagar, Assam",https://images.collegedunia.com/public/college_data/images/logos/13966953694503.JPG?h=43&w=43&mode=stretch
Sibsagar Girls' College - [SGC],"Sibsagar, Assam",https://images.collegedunia.com/public/college_data/images/logos/13966955044504.JPG?h=43&w=43&mode=stretch
Silapathar College,"Dhemaji, Assam",https://images.collegedunia.com/public/college_data/images/logos/13966973864517.JPG?h=43&w=43&mode=stretch
