College Name and Place,Logo Link
"{'Name': 'Govind Ramnath Kare College of Law', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/col8752.jpg?h=43&w=43&mode=stretch
"{'Name': 'Goa Medical College and Hospital', 'Location': 'Tiswadi, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1693568708goalogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Narayan Zantye College of Commerce', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/col15966.jpg?h=43&w=43&mode=stretch
"{'Name': 'National Institute of Oceanography - [NIO]', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/col16743.jpg?h=43&w=43&mode=stretch
"{'Name': ""GVM's Dr. Dada Vaidya College of Education"", 'Location': 'Ponda, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1424500303logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Goa University', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1464585093logo.png?h=43&w=43&mode=stretch
"{'Name': 'S. S. Dempo College of Commerce and Economics', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1462434900dempo-banner3.png?h=43&w=43&mode=stretch
"{'Name': 'Don Bosco College', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1462447807donbosco(2).jpg?h=43&w=43&mode=stretch
"{'Name': 'Enviroskills Academy - [ESA]', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1580123154evviroskillsacademylogo.png?h=43&w=43&mode=stretch
"{'Name': 'International Institute of Hotel Management - [IIHM]', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1582089994IIHMlogo.png?h=43&w=43&mode=stretch
"{'Name': 'JD Institute of Fashion Technology', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1586688274download31.jpg?h=43&w=43&mode=stretch
"{'Name': 'Government College of Arts', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1591957270goamarcelalogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Fr. Agnel College of Arts and Commerce - [ACAC]', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1594556756acaclogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Government Polytechnic', 'Location': 'Bicholim, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1598359363Logo1.jpg?h=43&w=43&mode=stretch
"{'Name': 'Agnel Polytechnic', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1599283993mumbailogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Government Polytechnic', 'Location': 'Curchorem, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1599539146logoleft.jpg?h=43&w=43&mode=stretch
"{'Name': 'Government Polytechnic - [GPP]', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1599539317logogpp.jpg?h=43&w=43&mode=stretch
"{'Name': 'Sant Sohirobanath Ambiye', 'Location': 'Pernem, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/16283370522.jpg?h=43&w=43&mode=stretch
"{'Name': 'Shri. Chetan Manju Desai College', 'Location': 'Cancona, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/162762639020200623222759.png?h=43&w=43&mode=stretch
"{'Name': 'Government College Of Commerce and Economics - [GCCEM]', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1627629784gcmtralogo.png?h=43&w=43&mode=stretch
"{'Name': 'Indian Institute of Tourism and Travel Management - [IITTM]', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1692422844newlogorecent1.png?h=43&w=43&mode=stretch
"{'Name': 'National Institute of Construction Management and Research - [NICMAR]', 'Location': 'Ponda, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1641807675nicmarlogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'PES’s Ravi S Naik College of Arts & Science- [PRSNCAS]', 'Location': 'Ponda, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1657014436download3.jpg?h=43&w=43&mode=stretch
"{'Name': 'India International University of Legal Education and Research', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1659085839Logo.png?h=43&w=43&mode=stretch
"{'Name': 'Panache Academy', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1669973818SundaywhiteLogo.png?h=43&w=43&mode=stretch
"{'Name': 'Goa College of Music', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1671192864goagovtlogonew0.jpg?h=43&w=43&mode=stretch
"{'Name': 'Vrundavan Institute of Nursing Education', 'Location': 'Bardez, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1672933861logo1.png?h=43&w=43&mode=stretch
