,Country,Universities Names,University Place,Tuition Fees
76, Canada,"St. Francis Xavier University, Antigonish","Nova Scotia, Canada",₹6.98L/Yr
77, Canada,"St. Mary's University, Halifax","Nova Scotia, Canada",₹8.51L/Yr
78, Canada,"St. Thomas More College, Saskatoon","Saskatchewan, Canada",₹20.95L/Yr
79, Canada,"The University of British Columbia, Okanagan, Kelowna","British Columbia, Canada",₹19.43L/Yr
80, Canada,"Thompson Rivers University, Kamloops","British Columbia, Canada",₹15.69L/Yr
81, Canada,"Trinity College, Toronto","Ontario, Canada",₹37.91L/Yr
82, Canada,"Trinity Western University, Langley","British Columbia, Canada",₹14.96L/Yr
83, Canada,"University of Moncton, Moncton","Newbrunswick, Canada",₹9.05L/Yr
84, Canada,"School of Higher Technology, University of Quebec, Montreal","Quebec, Canada",₹8.4L/Yr
85, Canada,"University of Quebec at Rimouski, Rimouski","Quebec, Canada",₹13.14L/Yr
86, Canada,"University of Quebec in Outaouais, Gatineau","Quebec, Canada",₹12.32L/Yr
87, Canada,"University of Guelph, Ridgetown Campus, Ridgetown","Ontario, Canada",₹28.72L/Yr
88, Canada,"University of Guelph, Humber Campus, Toronto","Ontario, Canada",₹18.22L/Yr
89, Canada,"University of King's College, Halifax","Nova Scotia, Canada",₹20.92L/Yr
90, Canada,"University of New Brunswick (Saint John), Saint John","Newbrunswick, Canada",₹8.51L/Yr
91, Canada,"University of Prince Edward Island, Charlottetown","Prince Edward Island, Canada",₹6.13L/Yr
92, Canada,"University of St. Michael's College, Toronto","Ontario, Canada",₹10.89L/Yr
93, Canada,"University of the Fraser Valley, Abbotsford","British Columbia, Canada",₹4.11L/Yr
94, Canada,"University of Toronto (Mississauga), Mississauga","Ontario, Canada",₹38.18L/Yr
95, Canada,"University of Toronto (Scarborough), Scarborough","Ontario, Canada",₹37.44L/Yr
96, Canada,"Algonquin College, Ottawa","Ontario, Canada",₹13.66L/Yr
97, Canada,"Bow Valley College, Calgary","Alberta, Canada",₹10.04L/Yr
98, Canada,"Cambrian College, Sudbury","Ontario, Canada",₹13.2L/Yr
99, Canada,"Centennial College, Toronto","Ontario, Canada",₹10.52L/Yr
100, Canada,"Humber College, Toronto","Ontario, Canada",₹12.42L/Yr
101, Canada,"Northern Alberta Institute of Technology, Edmonton","Alberta, Canada",₹16.31L/Yr
102, Canada,"Saskatchewan Polytechnic, Saskatoon","Saskatchewan, Canada",₹6.64L/Yr
103, Canada,"St. Lawrence College, Kingston","Ontario, Canada",₹10.35L/Yr
104, Canada,"Algonquin College (Perth), Perth","Ontario, Canada",₹13.66L/Yr
105, Canada,"Assiniboine Community College, Brandon","Manitoba, Canada",₹10.8L/Yr
106, Canada,"British Columbia Institute of Technology, Burnaby","British Columbia, Canada",₹6.69L/Yr
107, Canada,"Camosun College, Victoria","British Columbia, Canada",₹5.59L/Yr
108, Canada,"Canadore College, North Bay","Ontario, Canada",₹9.92L/Yr
109, Canada,"Cegep Marie (Victorin), Montreal","Quebec, Canada",₹9.93L/Yr
110, Canada,"Vanier College, Saint-Laurent","Quebec, Canada",₹14.09L/Yr
111, Canada,"College Boreal, Sudbury","Ontario, Canada",₹9.93L/Yr
112, Canada,"New Brunswick Community College, Fredericton","Newbrunswick, Canada",₹6.64L/Yr
113, Canada,"College of New Caledonia, Prince George","British Columbia, Canada",₹12.48L/Yr
114, Canada,"College of the North Atlantic, St. John's","Newfoundland & Labrador, Canada",₹7.42L/Yr
115, Canada,"College of the Rockies, Cranbrook","British Columbia, Canada",₹2.5L/Yr
116, Canada,"Columbia College, Vancouver","British Columbia, Canada",₹10.89L/Yr
117, Canada,"Conestoga College, Kitchener","Ontario, Canada",₹11.14L/Yr
118, Canada,"Confederation College, Thunder Bay","Ontario, Canada",₹10.63L/Yr
119, Canada,"Coquitlam College, Coquitlam","British Columbia, Canada",₹8.94L/Yr
120, Canada,"Cumberland College, Nipawin","Saskatchewan, Canada",₹7.76L/Yr
121, Canada,"Dawson College, Montreal","Quebec, Canada",₹4.34L/Yr
122, Canada,"Douglas College, New Westminster","British Columbia, Canada",₹12.7L/Yr
123, Canada,"Durham College, Oshawa","Ontario, Canada",₹9.41L/Yr
124, Canada,"Fanshawe College, London","Ontario, Canada",₹10.48L/Yr
125, Canada,"Fleming College, Peterborough","Ontario, Canada",₹12.68L/Yr
126, Canada,"George Brown College, Toronto","Ontario, Canada",₹12.72L/Yr
127, Canada,"Georgian College, Barrie","Ontario, Canada",₹9.15L/Yr
128, Canada,"Heritage College, Gatineau","Quebec, Canada",₹9.65L/Yr
129, Canada,"Sheridan College, Oakville","Ontario, Canada",₹10.42L/Yr
130, Canada,"St. Clair College, Windsor","Ontario, Canada",₹10.24L/Yr
131, Canada,"Vancouver Community College, Vancouver","British Columbia, Canada",₹12.33L/Yr
132, Canada,"Vanguard College, Edmonton","Alberta, Canada",₹6.84L/Yr
133, Canada,"Yukon College, Whitehorse","Yukon, Canada",₹8.32L/Yr
134, Canada,"Adler University (Vancouver), Vancouver","British Columbia, Canada",₹6.95L/Yr
135, Canada,"Conrad Grebel University College, Waterloo","Ontario, Canada",₹34.14L/Yr
136, Canada,"Dominican University College, Ottawa","Ontario, Canada",₹10.46L/Yr
137, Canada,"Holland College, Charlottetown","Prince Edward Island, Canada",₹6.8L/Yr
138, Canada,"Lambton College, Sarnia","Ontario, Canada",₹10.73L/Yr
139, Canada,"Mohawk College, Hamilton","Ontario, Canada",₹11.23L/Yr
140, Canada,"Red River College, Winnipeg","Manitoba, Canada",₹6.65L/Yr
141, Canada,"Seneca College (Newnham Campus), North York","Ontario, Canada",₹10.17L/Yr
142, Canada,"St. Stephen's University, Fredericton","Newbrunswick, Canada",₹7.36L/Yr
143, Canada,"Institut National de Recherche Scientifique, Quebec City","Quebec, Canada",₹18.16L/Yr
144, Canada,"Yorkville University, Fredericton","Newbrunswick, Canada",₹11.01L/Yr
145, Canada,"CDI College, Montreal","Quebec, Canada",₹12.97L/Yr
146, Canada,"LaSalle College - Vancouver, Vancouver","British Columbia, Canada",₹33L/Yr
147, Canada,"Toronto Film School, Toronto","Ontario, Canada",₹16.04L/Yr
148, Canada,"John Molson School of Business, Montreal","Quebec, Canada",₹14.46L/Yr
149, Canada,"Goodman School of Business, St. Catharines","Ontario, Canada",₹20.65L/Yr
150, Canada,"Sprott School of Business, Ottawa","Ontario, Canada",₹22.97L/Yr
151, Canada,"Rowe School of Business, Halifax","Nova Scotia, Canada",₹21.11L/Yr
152, Canada,"Desautels Faculty of Management, Montreal","Quebec, Canada",₹23.18L/Yr
153, Canada,"Edwards School of Business, Saskatoon","Saskatchewan, Canada",₹26.51L/Yr
154, Canada,"Haskayne School of Business, Calgary","Alberta, Canada",₹20.32L/Yr
155, Canada,"DeGroote School of Business, Hamilton","Ontario, Canada",₹27.74L/Yr
156, Canada,"Odette School of Business, Windsor","Ontario, Canada",₹10.89L/Yr
157, Canada,"Stephen J.R. Smith School of Business, Kingston","Ontario, Canada",₹8.92L/Yr
158, Canada,"Richard Ivey School of Business, London","Ontario, Canada",₹9.8L/Yr
159, Canada,"Rotman School of Management, Toronto","Ontario, Canada",₹52.52L/Yr
160, Canada,"Schulich School of Business, North York","Ontario, Canada",₹36.39L/Yr
161, Canada,"Beedie School of Business, Vancouver","British Columbia, Canada",₹24.23L/Yr
162, Canada,"Sobey School of Business, Halifax","Nova Scotia, Canada",₹36.04L/Yr
163, Canada,"Ted Rogers School of Management, Toronto","Ontario, Canada",₹23.53L/Yr
164, Canada,"Telfer School of Management, Ottawa","Ontario, Canada",₹18.49L/Yr
165, Canada,"Sauder School of Business, Vancouver","British Columbia, Canada",₹28.7L/Yr
166, Canada,"School of Management Science, University of Quebec at Montreal, Montreal","Quebec, Canada",₹13.23L/Yr
167, Canada,"School of Business, University of Alberta, Edmonton","Alberta, Canada",₹20.73L/Yr
168, Canada,"I.H. Asper School of Business, Winnipeg","Manitoba, Canada",₹12.09L/Yr
169, Canada,"Peter B. Gustavson School of Business, Victoria","British Columbia, Canada",₹17.79L/Yr
170, Canada,"Lazaridis School of Business & Economics, Waterloo","Ontario, Canada",₹17.02L/Yr
171, Canada,"Dalhousie Medical School, Halifax","Nova Scotia, Canada",₹14.71L/Yr
172, Canada,"Northern Ontario School of Medicine, Sudbury","Ontario, Canada",₹14.43L/Yr
173, Canada,"College of Medicine, University of Saskatchewan, Saskatoon","Saskatchewan, Canada",₹25.51L/Yr
174, Canada,"Schulich School of Medicine & Dentistry, London","Ontario, Canada",₹11.47L/Yr
175, Canada,"Ontario Institute for Studies in Education, Toronto","Ontario, Canada",₹14.41L/Yr
176, Canada,"Schulich School of law, Halifax","Nova Scotia, Canada",₹22.13L/Yr
177, Canada,"Osgoode Hall Law School, North York","Ontario, Canada",₹31.7L/Yr
178, Canada,"Okanagan College, Kelowna","British Columbia, Canada",₹6.51L/Yr
179, Canada,"Justice Institute of British Columbia, New Westminster","British Columbia, Canada",₹4.62L/Yr
180, Canada,"Lakeland College, Vermilion","Alberta, Canada",₹10.61L/Yr
181, Canada,"Langara College, Vancouver","British Columbia, Canada",₹11.11L/Yr
182, Canada,"Lethbridge College, Lethbridge","Alberta, Canada",₹4.2L/Yr
183, Canada,"Loyalist College, Belleville","Ontario, Canada",₹10.13L/Yr
184, Canada,"Medicine Hat College, Medicine Hat","Alberta, Canada",₹11.19L/Yr
185, Canada,"NorQuest College, Edmonton","Alberta, Canada",₹11.41L/Yr
186, Canada,"Northern College of Applied Arts & Technology, South Porcupin","Ontario, Canada",₹10.03L/Yr
187, Canada,"Northern Lakes College, Slave lake","Alberta, Canada",₹2.59L/Yr
188, Canada,"Northern Lights College, Dawson Creek","British Columbia, Canada",₹7.7L/Yr
189, Canada,"Coast Mountain College, Terrace","British Columbia, Canada",₹9.87L/Yr
190, Canada,"Nova Scotia Community College, Halifax","Nova Scotia, Canada",₹7.9L/Yr
191, Canada,"Parkland College, Yorkton","Saskatchewan, Canada",₹5.6L/Yr
192, Canada,"Portage College, Lac la Biche","Alberta, Canada",₹10.39L/Yr
193, Canada,"Red Deer College, Red Deer","Alberta, Canada",₹12.76L/Yr
194, Canada,"SAIT Polytechnic, Calgary","Alberta, Canada",₹11.66L/Yr
195, Canada,"Sault College, Sault Ste. Marie","Ontario, Canada",₹10.85L/Yr
196, Canada,"Selkirk College, Castlegar","British Columbia, Canada",₹8.93L/Yr
197, Canada,"Redekop School of Business, Winnipeg","Manitoba, Canada",₹11.66L/Yr
198, Canada,"University of Moncton, Shippagan Campus, Moncton","Newbrunswick, Canada",₹8.69L/Yr
199, Canada,"University of Moncton, Edmundston Campus, Moncton","Newbrunswick, Canada",₹8.69L/Yr
200, Canada,"The Gerald Schwartz School of Business, Antigonish","Nova Scotia, Canada",₹6.98L/Yr
201, Canada,"Crandall University, Moncton","Newbrunswick, Canada",₹13.89L/Yr
202, Canada,"Booth University College, Winnipeg","Manitoba, Canada",₹8.06L/Yr
203, Canada,"Acsenda School of Management, Vancouver","British Columbia, Canada",₹7.94L/Yr
204, Canada,"Evergreen College, Toronto","Ontario, Canada",₹18.11L/Yr
205, Canada,"Niagara College Canada Welland, Toronto","Ontario, Canada",₹11.34L/Yr
206, Canada,"Oulton College, Moncton","Newbrunswick, Canada",CA$0/YrLiving:
207, Canada,"Vancouver Film School, Vancouver","British Columbia, Canada",₹22.68L/Yr
208, Canada,"Brighton College, Burnaby","British Columbia, Canada",₹7.93L/Yr
209, Canada,"Cypress College, Medicine Hat","Alberta, Canada",₹10.03L/Yr
210, Canada,"Toronto School Of Management, Toronto","Ontario, Canada",₹8.37L/Yr
211, Canada,"Trebas Institute, Montreal","Quebec, Canada",₹12.95L/Yr
212, Canada,"Canadian College of Technology and Business, Vancouver","British Columbia, Canada",₹9.85L/Yr
213, Canada,"Fairleigh Dickinson University, Vancouver","British Columbia, Canada",₹16.41L/Yr
214, Canada,"Niagara College Canada, Niagara on the Lake, Toronto","Ontario, Canada",₹12.81L/Yr
215, Canada,"New York Institute of Technology - Vancouver Campus, Vancouver","British Columbia, Canada",₹38.43L/Yr
216, Canada,"IBT College Business Travel and Tourism Technology, Toronto","Ontario, Canada",CA$0/YrLiving:
217, Canada,"Eton College, Vancouver","British Columbia, Canada",₹12.72L/Yr
218, Canada,"TAV College, Montreal","Quebec, Canada",₹9.34L/Yr
219, Canada,"Canadian Institute of Management and Technology, Toronto","Ontario, Canada",CA$0/YrLiving:
220, Australia,"University of Melbourne, Melbourne","Victoria, Australia",₹28.15L/Yr
221, Australia,"Monash University, Melbourne","Victoria, Australia",₹27.78L/Yr
222, Australia,"The University of Sydney, Sydney","New South Wales, Australia",₹28.02L/Yr
223, Australia,"Australian National University, Canberra","Australian Capital Territory , Australia",₹26.93L/Yr
224, Australia,"The University of Queensland, Brisbane","Queensland, Australia",₹23.73L/Yr
225, Australia,"University of New South Wales, Sydney","New South Wales, Australia",₹17.58L/Yr
226, Australia,"University of Adelaide, Adelaide","South Australia, Australia",₹26.74L/Yr
227, Australia,"University of Western Australia, Perth","Western Australia, Australia",₹20.79L/Yr
228, Australia,"University of Technology Sydney, Sydney","New South Wales, Australia",₹12.77L/Yr
229, Australia,"Macquarie University, Sydney","New South Wales, Australia",₹23.28L/Yr
230, Australia,"Queensland University of Technology, Brisbane","Queensland, Australia",₹20.99L/Yr
231, Australia,"Swinburne University of Technology, Melbourne","Victoria, Australia",₹14.54L/Yr
232, Australia,"University of Newcastle, Newcastle","New South Wales, Australia",₹16.28L/Yr
233, Australia,"Curtin University, Perth","Western Australia, Australia",₹18.9L/Yr
234, Australia,"University of Wollongong, Wollongong","New South Wales, Australia",₹18.75L/Yr
235, Australia,"Griffith University, Brisbane","Queensland, Australia",₹20.7L/Yr
236, Australia,"Deakin University, Geelong","Victoria, Australia",₹19.79L/Yr
237, Australia,"University of Tasmania, Hobart","Tasmania, Australia",₹20.35L/Yr
238, Australia,"La Trobe University, Melbourne","Victoria, Australia",₹21.19L/Yr
239, Australia,"RMIT University, Melbourne","Victoria, Australia",₹22.27L/Yr
240, Australia,"Flinders University, Adelaide","South Australia, Australia",₹19.15L/Yr
241, Australia,"University of South Australia, Adelaide","South Australia, Australia",₹19.16L/Yr
242, Australia,"Western Sydney University, Sydney","New South Wales, Australia",₹18.42L/Yr
243, Australia,"University of Canberra, Canberra","Australian Capital Territory , Australia",₹19.42L/Yr
244, Australia,"Edith Cowan University, Perth","Western Australia, Australia",₹16.89L/Yr
245, Australia,"Murdoch University, Perth","Western Australia, Australia",₹23.57L/Yr
246, Australia,"University of Southern Queensland, Toowoomba","Queensland, Australia",₹14.86L/Yr
