,Country,Universities Names,University Place,Tuition Fees
324, Germany,"Johannes Gutenberg University of Mainz, Mainz","Rhineland-Palatinate, Germany",₹61.2K/Yr
325, Germany,"University of Hohenheim, Stuttgart","Baden-Wurttemberg, Germany",₹2.74L/Yr
326, Germany,"University of Stuttgart, Stuttgart","Baden-Wurttemberg, Germany",₹3.05L/Yr
327, Germany,"University of Bremen, Bremen","Bremen, Germany",€0/YrLiving:
328, Germany,"University of Kiel, Kiel","Schleswig-Holstein, Germany",₹47.6K/Yr
329, Germany,"University of Bayreuth, Bayreuth","Bavaria, Germany",₹55K/Yr
330, Germany,"Leibniz University of Hannover, Hannover","Lower Saxony, Germany",₹72.4K/Yr
331, Germany,"Technical University Dortmund, Dortmund","North Rhine-Westphalia, Germany",₹9.36L/Yr
332, Germany,"University of Greifswald, Greifswald","Mecklenburg-Vorpommern, Germany",₹22.7K/Yr
333, Germany,"University of Passau, Passau","Bavaria, Germany",₹29.3K/Yr
334, Germany,"Technical University of Braunschweig, Braunschweig","Lower Saxony, Germany",₹66.7K/Yr
335, Germany,"Leuphana University of Luneburg, Luneburg","Lower Saxony, Germany",₹53.93L/Yr
336, Germany,"Otto von Guericke University, Magdeburg","Saxony, Germany",₹26.05L/Yr
337, Germany,"University of Siegen, Siegen","North Rhine-Westphalia, Germany",₹59.6K/Yr
338, Germany,"Technical University Ilmenau, Ilmenau","Thuringia, Germany",₹24.4K/Yr
339, Germany,"University of Erlangen-Nuremberg, Erlangen","Bavaria, Germany",₹26.3K/Yr
340, Germany,"Karlsruhe School of Optics & Photonics, Karlsruhe","Baden-Wurttemberg, Germany",₹1.37L/Yr
341, Germany,"Leipzig University, Leipzig","Saxony, Germany",₹91.4K/Yr
342, Germany,"Saarland University, Saarbrucken","Saarland, Germany",₹54.1K/Yr
343, Germany,"Martin Luther University Halle-Wittenberg, Halle","Saxony, Germany",₹8.4K/Yr
344, Germany,"University of Regensburg, Regensburg","Bavaria, Germany",₹1.22L/Yr
345, Germany,"Philipps University Marburg, Marburg","Hesse, Germany",₹68K/Yr
346, Germany,"University of Rostock, Rostock","Mecklenburg-Vorpommern, Germany",₹42.4K/Yr
347, Germany,"University of Duisburg-Essen, Duisburg","North Rhine-Westphalia, Germany",₹94.9K/Yr
348, Germany,"Bielefeld University, Bielefeld","North Rhine-Westphalia, Germany",₹1.28L/Yr
349, Germany,"Hamburg University of Technology, Hamburg","Hamburg, Germany",₹71.5K/Yr
350, Germany,"University of Luebeck, Lubeck","Schleswig-Holstein, Germany",₹65.87L/Yr
351, Germany,"University of Kassel, Kassel","Hesse, Germany",₹43.3K/Yr
352, Germany,"University of Wuppertal, Wuppertal","North Rhine-Westphalia, Germany",₹59.79L/Yr
353, Germany,"Carl von Ossietzky University of Oldenburg, Oldenburg","Lower Saxony, Germany",₹47.4K/Yr
354, Germany,"University of Kaiserslautern, Kaiserslautern","Rhineland-Palatinate, Germany",₹1.63L/Yr
355, Germany,"Brandenburg University of Technology, Cottbus","Brandenburg, Germany",₹23.9K/Yr
356, Germany,"Paderborn University, Paderborn","North Rhine-Westphalia, Germany",₹37.1K/Yr
357, Germany,"University of Augsburg, Augsburg","Bavaria, Germany",₹29.37L/Yr
358, Germany,"Chemnitz University of Technology, Chemnitz","Saxony, Germany",₹45.7K/Yr
359, Germany,"Jacobs University, Bremen","Bremen, Germany",₹18.28L/Yr
360, Germany,"Witten/Herdecke University, Witten","North Rhine-Westphalia, Germany",₹24.08L/Yr
361, Germany,"University of Trier, Trier","Rhineland-Palatinate, Germany",₹26.9K/Yr
362, Germany,"University of Koblenz - Landau, Mainz","Rhineland-Palatinate, Germany",₹21.9K/Yr
363, Germany,"Technical University of Clausthal, Clausthal-Zellerfeld","Lower Saxony, Germany",₹72.4K/Yr
364, Germany,"Carl Benz School, Karlsruhe","Baden-Wurttemberg, Germany",₹1.37L/Yr
365, Germany,"RWTH International Academy, Aachen","North Rhine-Westphalia, Germany",₹20.11L/Yr
366, Germany,"RWTH Business School, Aachen","North Rhine-Westphalia, Germany",₹2.39L/Yr
367, Germany,"Technical University Freiberg, Freiburg","Baden-Wurttemberg, Germany",₹17.2K/Yr
368, Germany,"European Business School, Munich","Bavaria, Germany",₹15.86L/Yr
369, Germany,"WHU - Otto Beisheim School of Management, Vallendar","Rhineland-Palatinate, Germany",₹26.61L/Yr
370, Germany,"Osnabruck University, Osnabruck","Lower Saxony, Germany",₹60.8K/Yr
371, Germany,"Bauhaus University, Weimar","Thuringia, Germany",₹26.92L/Yr
372, Germany,"Berlin University of the Arts, Berlin","Berlin, Germany",₹67K/Yr
373, Germany,"Frankfurt School of Finance & Management, Frankfurt am Main","Hesse, Germany",₹26.44L/Yr
374, Germany,"International School of Management, Dortmund","North Rhine-Westphalia, Germany",₹13.36L/Yr
375, Germany,"Munich Business School, Munich","Bavaria, Germany",₹25.05L/Yr
376, Germany,"ESMT Berlin, Berlin","Berlin, Germany",₹37.02L/Yr
377, Germany,"FH Aachen - University of Applied Sciences, Aachen","North Rhine-Westphalia, Germany",₹29.7L/Yr
378, Germany,"Aalen University, Aalen","Baden-Wurttemberg, Germany",₹2.74L/Yr
379, Germany,"Ansbach University of Applied Sciences, Ansbach","Bavaria, Germany",₹12.2K/Yr
380, Germany,"IU, International University of Applied Sciences, Bad Honnef","North Rhine-Westphalia, Germany",₹4.41L/Yr
381, Germany,"BBW University of Applied Sciences, Berlin","Berlin, Germany",₹6.82L/Yr
382, Germany,"Berlin School of Business and Innovation, Berlin","Berlin, Germany",₹6.97L/Yr
383, Germany,"Beuth University of Applied Sciences, Berlin","Berlin, Germany",€0/YrLiving:
384, Germany,"CODE University of Applied Sciences, Berlin","Berlin, Germany",₹11.58L/Yr
385, Germany,"GISMA Business School, Hannover","Lower Saxony, Germany",₹12.67L/Yr
386, Germany,"HTW Berlin-University of Applied Sciences, Berlin","Berlin, Germany",₹1.21L/Yr
387, Germany,"Macromedia University of Applied Sciences, Munich","Bavaria, Germany",₹10.36L/Yr
388, Germany,"SRH Hochschule Berlin, Berlin","Berlin, Germany",₹11.88L/Yr
389, Germany,"Anhalt University of Applied Sciences, Bernburg","Saxony, Germany",₹45.7K/Yr
390, Germany,"Biberach University of Applied Science, Biberach an der Riss","Baden-Wurttemberg, Germany",₹16.8K/Yr
391, Germany,"Coburg University of Applied Sciences and Arts, Coburg","Bavaria, Germany",₹1.86L/Yr
392, Germany,"Darmstadt University of Applied Sciences, Darmstadt","Hesse, Germany",₹1.67L/Yr
393, Germany,"Deggendorf Institute of Technology, Deggendorf","Bavaria, Germany",₹91.4K/Yr
394, Germany,"Dresden International University, Dresden","Saxony, Germany",₹6.22L/Yr
395, Germany,"University of Erfurt, Erfurt","Thuringia, Germany",₹2.93L/Yr
396, Germany,"FOM University of Applied Sciences, Essen","North Rhine-Westphalia, Germany",₹7.6L/Yr
397, Germany,"Esslingen University of Applied Sciences, Esslingen am Neckar","Baden-Wurttemberg, Germany",₹2.18L/Yr
398, Germany,"Flensburg University of Applied Sciences, Flensburg","Schleswig-Holstein, Germany",₹46.4K/Yr
399, Germany,"Fulda University of Applied Sciences, Fulda","Hesse, Germany",₹54.8K/Yr
400, Germany,"Furtwangen University, Furtwangen im Schwarzwald","Baden-Wurttemberg, Germany",₹11.38L/Yr
401, Germany,"HafenCity University Hamburg, Hamburg","Hamburg, Germany",₹58.5K/Yr
402, Germany,"Hamburg University of Applied Sciences, Hamburg","Hamburg, Germany",₹71.8K/Yr
403, Germany,"Kuehne Logistics University, Hamburg","Hamburg, Germany",₹13.14L/Yr
404, Germany,"West Coast University of Applied Sciences, Heide","Schleswig-Holstein, Germany",₹13.71L/Yr
405, Germany,"Heilbronn University, Heilbronn","Baden-Wurttemberg, Germany",₹41.13L/Yr
406, Germany,"Hof University of Applied Sciences, Hof","Bavaria, Germany",₹5.91L/Yr
407, Germany,"Karlsruhe University of Applied Sciences, Karlsruhe","Baden-Wurttemberg, Germany",₹2.74L/Yr
408, Germany,"Kempten University of Applied Sciences, Kempten im Allgau","Bavaria, Germany",₹1.39L/Yr
409, Germany,"Kiel University of Applied Sciences, Kiel","Schleswig-Holstein, Germany",₹50.26L/Yr
410, Germany,"Rhein-Waal University of Applied Sciences, Kleve","North Rhine-Westphalia, Germany",₹58.7K/Yr
411, Germany,"Cologne Business School, Cologne","North Rhine-Westphalia, Germany",₹8.46L/Yr
412, Germany,"Konstanz University of Applied Sciences, Konstanz","Baden-Wurttemberg, Germany",₹2.74L/Yr
413, Germany,"Landshut University of Applied Sciences, Landshut","Bavaria, Germany",€0/YrLiving:
414, Germany,"Leipzig University of Applied Sciences, Leipzig","Saxony, Germany",₹64K/Yr
415, Germany,"Ostwestfalen - Lippe University of Applied Sciences, Lemgo","North Rhine-Westphalia, Germany",₹30.5K/Yr
416, Germany,"Luebeck University of Applied Sciences, Lubeck","Schleswig-Holstein, Germany",₹54.8K/Yr
417, Germany,"Mainz University of Applied Sciences, Mainz","Rhineland-Palatinate, Germany",₹60.3K/Yr
418, Germany,"Mannheim Business School, Mannheim","Baden-Wurttemberg, Germany",₹10.05L/Yr
419, Germany,"Neu Ulm University of Applied Sciences, Neu-Ulm","Bavaria, Germany",₹2.74L/Yr
420, Germany,"Muenster University of Applied Sciences, Munster","North Rhine-Westphalia, Germany",₹62.7K/Yr
421, Germany,"Nurtingen-Geislingen University, Nurtingen","Baden-Wurttemberg, Germany",₹2.74L/Yr
422, Germany,"Hochschule Pforzheim, Pforzheim","Baden-Wurttemberg, Germany",₹89.7K/Yr
423, Germany,"Regensburg University of Applied Sciences, Regensburg","Bavaria, Germany",₹39.3K/Yr
424, Germany,"Reutlingen University, Reutlingen","Baden-Wurttemberg, Germany",₹3.05L/Yr
425, Germany,"Rosenheim Technical University of Applied Sciences, Rosenheim","Bavaria, Germany",₹15.5K/Yr
426, Germany,"Saarland University of Applied Sciences, Saarbrucken","Saarland, Germany",₹54.1K/Yr
427, Germany,"Stralsund University of Applied Sciences, Stralsund","Mecklenburg-Vorpommern, Germany",₹1.92L/Yr
428, Germany,"EBS University, Oestrich-Winkel","Hesse, Germany",₹29.66L/Yr
429, Germany,"Worms University of Applied Sciences, Worms","Rhineland-Palatinate, Germany",€0/YrLiving:
430, Germany,"City University of Applied Sciences, Bremen","Bremen, Germany",₹34.7K/Yr
431, Germany,"University of Europe for Applied Sciences, Iserlohn","North Rhine-Westphalia, Germany",₹10.57L/Yr
432, Hong-Kong,"The University of Hong Kong, Pokfulam","Hong Kong, Hong-Kong",₹19.38L/Yr
433, Hong-Kong,"Chinese University of Hong Kong, Shatin","Hong Kong, Hong-Kong",₹15.44L/Yr
434, Hong-Kong,"The Hong Kong University of Science & Technology, Hong Kong","Hong Kong, Hong-Kong",₹10.24L/Yr
435, Hong-Kong,"City University of Hong Kong, Kowloon Tong","Hong Kong, Hong-Kong",₹18.26L/Yr
436, Hong-Kong,"The Hong Kong Polytechnic University, Hung Hom","Hong Kong, Hong-Kong",₹18.82L/Yr
437, Hong-Kong,"Hong Kong Baptist University, Kowloon Tong","Hong Kong, Hong-Kong",₹23.25L/Yr
438, Hong-Kong,"Lingnan University, Tuen Mun","Hong Kong, Hong-Kong",₹19.42L/Yr
439, Hong-Kong,"The Hong Kong Polytechnic University, School of Design, Hung Hom","Hong Kong, Hong-Kong",₹22.62L/Yr
440, Ireland,"Trinity College Dublin, Dublin","Dublin, Ireland",₹21.39L/Yr
441, Ireland,"University College Dublin, Belfield","Dublin, Ireland",₹22.33L/Yr
442, Ireland,"University College Cork, Cork","Cork, Ireland",₹19.46L/Yr
443, Ireland,"Dublin City University, Dublin","Dublin, Ireland",₹15.29L/Yr
444, Ireland,"University of Limerick, Limerick","Limerick, Ireland",₹17.2L/Yr
445, Ireland,"Maynooth University, Maynooth","Kildare, Ireland",₹6.93L/Yr
446, Ireland,"Technological University Dublin, Dublin","Dublin, Ireland",₹12.05L/Yr
447, Ireland,"National University of Ireland, Galway, Galway","Galway, Ireland",₹16.6L/Yr
448, Ireland,"Smurfit Graduate Business School, Dublin","Dublin, Ireland",₹21.71L/Yr
449, Ireland,"Dublin City University Business School, Dublin","Dublin, Ireland",₹16.03L/Yr
450, Ireland,"Waterford Institute of Technology, Waterford","Waterford, Ireland",₹9.52L/Yr
451, Ireland,"Griffith College Dublin, Dublin","Dublin, Ireland",₹11.93L/Yr
452, Malaysia,"University of Malaya, Kuala Lumpur","Kuala Lumpur, Malaysia",₹5.04L/Yr
453, Malaysia,"Universiti Teknologi Petronas, Seri Iskander","Perak, Malaysia",₹13.75L/Yr
454, Malaysia,"Universiti Utara Malaysia, Changlun","Kedah, Malaysia",₹1.72L/Yr
455, Malaysia,"Universiti Sains Malaysia, George Town","Penang, Malaysia",₹87.8K/Yr
456, Malaysia,"Universiti Teknologi Malaysia, Skudai","Johor, Malaysia",₹10.27L/Yr
457, Malaysia,"Universiti Tenaga Nasional (UNITEN), kajang","Selangor, Malaysia",₹3.61L/Yr
458, Malaysia,"Sunway University, Petaling Jaya","Selangor, Malaysia",₹12.38L/Yr
459, Malaysia,"Universiti Tunku Abdul Rahman (UTAR), Kampar","Perak, Malaysia",₹8.89L/Yr
460, Malaysia,"Multimedia University, cyberjaya","Selangor, Malaysia",₹4.29L/Yr
461, Malaysia,"Universiti Teknologi MARA, Shah Alam","Selangor, Malaysia",₹3.91L/Yr
462, Malaysia,"Universiti Putra Malaysia, Seri Kembangan","Selangor, Malaysia",₹2.69L/Yr
463, Malaysia,"Taylor's University, Subang Jaya","Selangor, Malaysia",₹2.07L/Yr
464, Malaysia,"UCSI University, Kuala Lumpur","Kuala Lumpur, Malaysia",₹6.42L/Yr
465, Malaysia,"International Islamic University Malaysia, Gombak","Selangor, Malaysia",₹32.8K/Yr
466, Malaysia,"University of Nottingham Malaysia, semenyih","Selangor, Malaysia",₹4.5L/Yr
467, Malaysia,"Monash University Malaysia, Subang Jaya","Selangor, Malaysia",₹9.49L/Yr
468, Netherlands,"Delft University of Technology, Delft","South Holland, Netherlands",₹19.27L/Yr
469, Netherlands,"University of Amsterdam, Amsterdam","North Holland, Netherlands",₹24.24L/Yr
470, Netherlands,"Wageningen University & Research, Wageningen","Gelderland, Netherlands",₹17.38L/Yr
471, Netherlands,"Leiden University, Leiden","South Holland, Netherlands",₹17.44L/Yr
472, Netherlands,"University of Groningen, Groningen","Groningen, Netherlands",₹15.27L/Yr
473, Netherlands,"Erasmus University Rotterdam, Rotterdam","South Holland, Netherlands",₹18.2L/Yr
474, Netherlands,"Vrije Universiteit Amsterdam, Amsterdam","North Holland, Netherlands",₹12.33L/Yr
475, Netherlands,"Maastricht University, Maastricht","Limburg, Netherlands",₹16.43L/Yr
476, Netherlands,"Eindhoven University of Technology, Eindhoven","North Brabant, Netherlands",₹16.4L/Yr
477, Netherlands,"University of Twente, Enschede","Overijssel, Netherlands",₹14.2L/Yr
478, Netherlands,"Utrecht University, Utrecht","Utrecht, Netherlands",₹17.63L/Yr
479, Netherlands,"Radboud University, Nijmegen","Gelderland, Netherlands",₹2.4L/Yr
480, Netherlands,"Amsterdam Business School, Amsterdam","North Holland, Netherlands",₹25.51L/Yr
481, Netherlands,"Rotterdam School of Management, Erasmus University (RSM), Rotterdam","South Holland, Netherlands",₹19.73L/Yr
482, Netherlands,"School of Business and Economics, Maastricht University, Maastricht","Limburg, Netherlands",₹16.89L/Yr
483, Netherlands,"Maastricht School of Management, Maastricht","Limburg, Netherlands",₹16.08L/Yr
484, Netherlands,"Breda University of Applied Sciences, Breda","North Brabant, Netherlands",₹11.23L/Yr
485, Netherlands,"Royal Academy of Art, The Hague, The Hague","South Holland, Netherlands",₹6.72L/Yr
486, Netherlands,"United International Business Schools, Amsterdam","North Holland, Netherlands",₹25.89L/Yr
487, Netherlands,"The Hague University of Applied Sciences, The Hague","South Holland, Netherlands",₹16.54L/Yr
488, Netherlands,"Nyenrode Business Universiteit, Breukelen","Utrecht, Netherlands",₹26.74L/Yr
489, New-Zealand,"University of Auckland, Auckland","North Island, New-Zealand",₹25.03L/Yr
490, New-Zealand,"University of Otago, Dunedin","South Island, New-Zealand",₹21.89L/Yr
491, New-Zealand,"Auckland University of Technology, Auckland","North Island, New-Zealand",₹22.72L/Yr
492, New-Zealand,"Massey University, Palmerston North","North Island, New-Zealand",₹18.79L/Yr
493, New-Zealand,"Victoria University of Wellington, Wellington","North Island, New-Zealand",₹16.49L/Yr
494, New-Zealand,"University of Waikato, Hamilton","North Island, New-Zealand",₹23.78L/Yr
495, New-Zealand,"University of Canterbury, Christchurch","South Island, New-Zealand",₹18.97L/Yr
496, New-Zealand,"Lincoln University, Lincoln","South Island, New-Zealand",₹15.78L/Yr
497, New-Zealand,"Otago Business School, Dunedin","South Island, New-Zealand",₹21.03L/Yr
498, New-Zealand,"Wellington Institute of Technology, Petone","North Island, New-Zealand",₹14.74L/Yr
499, Singapore,"National University of Singapore, Singapore","Singapore, Singapore",₹21.07L/Yr
500, Singapore,"Nanyang Technological University, Singapore","Singapore, Singapore",₹12.84L/Yr
501, Singapore,"Singapore Management University, Singapore","Singapore, Singapore",₹35.64L/Yr
502, Singapore,"INSEAD, Singapore","Singapore, Singapore",₹31.97L/Yr
503, Singapore,"Singapore Institute of Management, Singapore","Singapore, Singapore",₹11.06L/Yr
504, Singapore,"National University of Singapore Business School, Singapore","Singapore, Singapore",₹23.44L/Yr
505, Singapore,"Amity Global Institue, Singapore","Singapore, Singapore",₹4.89L/Yr
506, Singapore,"James Cook University, Singapore","Singapore, Singapore",₹21.87L/Yr
507, Singapore,"London School Of Business And Finance, Singapore","Singapore, Singapore",₹9.93L/Yr
508, Sweden,"Karolinska Institute, Stockholm","Uppland, Sweden",₹15.13L/Yr
509, Sweden,"KTH Royal Institute of Technology, Stockholm","Uppland, Sweden",₹13.88L/Yr
510, Sweden,"Lund University, Lund","Skane, Sweden",₹7.24L/Yr
511, Sweden,"Uppsala University, Uppsala","Uppland, Sweden",₹10.55L/Yr
512, Sweden,"Stockholm University, Stockholm","Uppland, Sweden",₹9.46L/Yr
513, Sweden,"Chalmers University of Technology, Gothenburg","Bohuslan, Sweden",₹13.16L/Yr
514, Sweden,"University of Gothenburg, Gothenburg","Bohuslan, Sweden",₹5.19L/Yr
515, Sweden,"Linkoping University, Linkoping","Ostergotland, Sweden",₹11.03L/Yr
516, Sweden,"Swedish University of Agricultural Sciences, Uppsala","Uppland, Sweden",₹21.64L/Yr
517, Sweden,"Umea University, Umea","Vasterbotten, Sweden",₹45.76L/Yr
518, Sweden,"Orebro University, Orebro","Narke, Sweden",₹9.14L/Yr
519, Sweden,"Jonkoping University, Jonkoping","Jonkoping, Sweden",₹10.23L/Yr
520, Sweden,"Karlstad University, Karlstad","Varmland, Sweden",₹10.76L/Yr
521, Sweden,"Stockholm School of Economics, Stockholm","Uppland, Sweden",₹9.73L/Yr
522, Sweden,"Linnaeus University, Vaxjo","Kronoberg, Sweden",₹6L/Yr
523, Sweden,"Lulea University of Technology, Lulea","Norrbotten, Sweden",₹12.68L/Yr
524, Sweden,"Mid Sweden University, Sundsvall","Vasternorrland, Sweden",₹6.53L/Yr
525, Sweden,"Malmo University, Malmo","Skane, Sweden",₹21.47L/Yr
526, Sweden,"Malardalen University, Vasteras","Vastmanland, Sweden",₹9.24L/Yr
527, Sweden,"University of Gavle, Gavle","Gavleborg, Sweden",₹10.54L/Yr
528, Sweden,"University of Skovde, Skovde","Vastergotland, Sweden",₹5.47L/Yr
529, Sweden,"Sodertorn University, Stockholm","Uppland, Sweden",₹10.66L/Yr
530, UK,"University of Oxford, Oxford","England, UK",₹36.5L/Yr
531, UK,"University of Cambridge, Cambridge","England, UK",₹45.41L/Yr
532, UK,"Imperial College London, London","England, UK",₹40.31L/Yr
533, UK,"University College London, London","England, UK",₹33.44L/Yr
534, UK,"University of Edinburgh, Edinburgh","Scotland, UK",₹31.68L/Yr
535, UK,"King's College London, London","England, UK",₹29.89L/Yr
536, UK,"London School of Economics and Political Science, London","England, UK",₹29.53L/Yr
537, UK,"The University of Manchester, Manchester","England, UK",₹31.02L/Yr
538, UK,"University of Bristol, Bristol","England, UK",₹27.16L/Yr
539, UK,"University of Glasgow, Glasgow","Scotland, UK",₹32.09L/Yr
540, UK,"University of Southampton, Southampton","England, UK",₹27.98L/Yr
541, UK,"University of Birmingham, Birmingham","England, UK",₹26.43L/Yr
542, UK,"University of Sheffield, Sheffield","England, UK",₹28.09L/Yr
543, UK,"University of Warwick, Coventry","England, UK",₹29.41L/Yr
544, UK,"University of Leeds, Leeds","England, UK",₹27.77L/Yr
545, UK,"University of Nottingham, Nottingham","England, UK",₹27.61L/Yr
546, UK,"Queen Mary, University of London, London","England, UK",₹26.74L/Yr
547, UK,"University of York, York","England, UK",₹26.63L/Yr
548, UK,"Lancaster University, Lancaster","England, UK",₹26.03L/Yr
549, UK,"University of Liverpool, Liverpool","England, UK",₹26.96L/Yr
550, UK,"Newcastle University, Newcastle upon Tyne","England, UK",₹29.02L/Yr
551, UK,"Durham University, Durham","England, UK",₹28.08L/Yr
552, UK,"University of Exeter, Exeter","England, UK",₹26.82L/Yr
553, UK,"Cardiff University, Cardiff","Wales, UK",₹25.04L/Yr
554, UK,"University of St Andrews, St Andrews","Scotland, UK",₹28.93L/Yr
555, UK,"University of Aberdeen, Aberdeen","Scotland, UK",₹28.1L/Yr
556, UK,"Queen's University Belfast, Belfast","Northern Ireland, UK",₹19.93L/Yr
557, UK,"University of Reading, Berkshire","England, UK",₹21.7L/Yr
558, UK,"University of Sussex, Brighton","England, UK",₹24.14L/Yr
559, UK,"University of Leicester, Leicester","England, UK",₹22.06L/Yr
560, UK,"University of Bath, Bath","England, UK",₹28.33L/Yr
561, UK,"University of Surrey, Guildford","England, UK",₹23.03L/Yr
562, UK,"Loughborough University, Loughborough","England, UK",₹27.14L/Yr
563, UK,"University of East Anglia, Norwich","England, UK",₹22.89L/Yr
564, UK,"Swansea University, Swansea","Wales, UK",₹20.87L/Yr
565, UK,"University of Essex, Colchester","England, UK",₹20.52L/Yr
566, UK,"University of Dundee, Dundee","Scotland, UK",₹22.27L/Yr
567, UK,"Royal Holloway, University of London, Egham","England, UK",₹24.69L/Yr
568, UK,"University of Strathclyde, Glasgow","Scotland, UK",₹22.35L/Yr
569, UK,"St George's, University of London, London","England, UK",₹23.54L/Yr
570, UK,"Heriot-Watt University, Edinburgh","Scotland, UK",₹23.65L/Yr
571, UK,"City, University of London, London","England, UK",₹23.27L/Yr
572, UK,"Brunel University, London","England, UK",₹22.71L/Yr
573, UK,"Aston University, Birmingham","England, UK",₹21.67L/Yr
574, UK,"University of Kent, Canterbury","England, UK",₹20.22L/Yr
575, UK,"Bangor University, Bangor","Wales, UK",₹19.29L/Yr
576, UK,"University of Hull, Hull","England, UK",₹16.27L/Yr
577, UK,"Goldsmiths, University of London, London","England, UK",₹28.85L/Yr
578, UK,"School of Oriental and African Studies, University of London, London","England, UK",₹25.22L/Yr
579, UK,"Royal Veterinary College, University of London, London","England, UK",₹28.33L/Yr
580, UK,"University of Plymouth, Plymouth","England, UK",₹18.48L/Yr
581, UK,"Bournemouth University, Poole","England, UK",₹17.43L/Yr
582, UK,"University of Portsmouth, Portsmouth","England, UK",₹17.96L/Yr
583, UK,"University of Stirling, Stirling","Scotland, UK",₹20.85L/Yr
584, UK,"University of The West of England, Bristol","England, UK",₹17.06L/Yr
585, UK,"Anglia Ruskin University, Cambridge","England, UK",₹17.48L/Yr
586, UK,"Edinburgh Napier University, Edinburgh","Scotland, UK",₹17.43L/Yr
587, UK,"University of Greenwich, London","England, UK",₹17.19L/Yr
588, UK,"Northumbria University, Newcastle upon Tyne","England, UK",₹20.67L/Yr
589, UK,"Coventry University, Coventry","England, UK",₹19.97L/Yr
590, UK,"University of Derby, Derby","England, UK",₹15.69L/Yr
591, UK,"De Montfort University, Leicester","England, UK",₹16.76L/Yr
592, UK,"The Open University, Milton Keynes","England, UK",₹7.58L/Yr
593, UK,"University of East London, London","England, UK",₹15.06L/Yr
594, UK,"University of Bedfordshire, Luton","England, UK",₹15.38L/Yr
595, UK,"Teesside University, Middlesbrough","England, UK",₹15.47L/Yr
596, UK,"University of South Wales, Pontypridd","Wales, UK",₹16.36L/Yr
597, UK,"University of Central Lancashire, Preston","England, UK",₹15.72L/Yr
598, UK,"Edge Hill University, Ormskirk","England, UK",₹17.53L/Yr
599, UK,"Canterbury Christ Church University, Canterbury","England, UK",₹16.31L/Yr
600, UK,"University of Winchester, Winchester","England, UK",₹16.71L/Yr
601, UK,"University of West London, London","England, UK",₹15.31L/Yr
602, UK,"Cardiff Metropolitan University, Cardiff","Wales, UK",₹16.32L/Yr
603, UK,"University of Chester, Chester","England, UK",₹14.62L/Yr
604, UK,"University of Sunderland, Sunderland","England, UK",₹15.3L/Yr
605, UK,"Edinburgh Business School, Edinburgh","Scotland, UK",₹23.83L/Yr
606, UK,"Birkbeck, University of London, London","England, UK",₹17.31L/Yr
607, UK,"Oxford Brookes University, Oxford","England, UK",₹18.8L/Yr
608, UK,"Ulster University, Belfast","Northern Ireland, UK",₹16.93L/Yr
609, UK,"University of Huddersfield, Huddersfield","England, UK",₹18.65L/Yr
610, UK,"Manchester Metropolitan University, Manchester","England, UK",₹19.7L/Yr
611, UK,"Nottingham Trent University, Nottingham","England, UK",₹17.4L/Yr
612, UK,"Kingston University, Kingston upon Thames","England, UK",₹19.1L/Yr
613, UK,"University of Bradford, Bradford","England, UK",₹22.34L/Yr
614, UK,"Aberystwyth University, Aberystwyth","Wales, UK",₹17.67L/Yr
615, UK,"Middlesex University, London","England, UK",₹17.08L/Yr
616, UK,"University of Westminster, London","England, UK",₹15.96L/Yr
617, UK,"Liverpool John Moores University, Liverpool","England, UK",₹18.4L/Yr
618, UK,"University of Brighton, Brighton","England, UK",₹15.62L/Yr
619, UK,"Keele University, Newcastle","England, UK",₹22.07L/Yr
620, UK,"University of Hertfordshire, Hatfield","England, UK",₹16.2L/Yr
621, UK,"University of Lincoln, Lincoln","England, UK",₹16.69L/Yr
622, UK,"London South Bank University, London","England, UK",₹17.11L/Yr
623, UK,"University of Salford, Salford","England, UK",₹16.76L/Yr
624, UK,"Robert Gordon University, Aberdeen","Scotland, UK",₹17.25L/Yr
625, UK,"London Metropolitan University, London","England, UK",₹18.45L/Yr
626, UK,"Glasgow Caledonian University, Glasgow","Scotland, UK",₹16.58L/Yr
627, UK,"Leeds Beckett University, Leeds","England, UK",₹17.46L/Yr
628, UK,"Sheffield Hallam University, Sheffield","England, UK",₹15.58L/Yr
629, UK,"Birmingham City University, Birmingham","England, UK",₹17.63L/Yr
630, UK,"Harper Adams University, Newport","Wales, UK",₹13.95L/Yr
631, UK,"University of Wolverhampton, Wolverhampton","England, UK",₹16.24L/Yr
632, UK,"University of Northampton, Northampton","England, UK",₹17.04L/Yr
633, UK,"Cranfield University, Bedford","England, UK",₹29.83L/Yr
634, UK,"London School of Hygiene & Tropical Medicine, London","England, UK",₹29.28L/Yr
635, UK,"Liverpool School of Tropical Medicine, Liverpool","England, UK",₹21.06L/Yr
636, UK,"London Business School, London","England, UK",₹22.16L/Yr
637, UK,"University of the West of Scotland, Glasgow","Scotland, UK",₹16.53L/Yr
638, UK,"University of Highlands and Islands, Inverness","Scotland, UK",₹15.65L/Yr
639, UK,"University of Roehampton, London","England, UK",₹16.48L/Yr
640, UK,"University for the Creative Arts, Farnham","England, UK",₹18.62L/Yr
641, UK,"University of the Arts London, London","England, UK",₹28.86L/Yr
642, UK,"Abertay University, Dundee","Scotland, UK",₹15.18L/Yr
643, UK,"Solent University, Southampton","England, UK",₹17.28L/Yr
644, UK,"Liverpool Hope University, Liverpool","England, UK",₹13.72L/Yr
