College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
Usa,"Stony Brook University, Stony Brook","New York, Usa","{'Tuition Fees': '₹21.48L/Yr\xa0($25,775/Yr)', 'Living Fees': '₹11.21L/Yr\xa0($13,446/Yr)'}",M.S Computer Science,"GRE- 309.0, IELTS- 6.5","Stony Brook University (SBU): Rankings, Courses, Admissions, Fees & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2084_11-10:54_download.png?h=90&w=90&mode=stretch,"{'Location': 'Stony Brook, New York', 'School type': 'University', 'Established Year': 'Estd1957'}",7,"Stony Brook University, established in 1957, is one of the best public universities in New York, USA. It is one of the two flagship institutions of the State University of New York system, along with the University at Buffalo. Stony Brook University campus accommodates around 27,000 ambitious students hailing from over 100 different countries. Admitted students can explore and pursue a wide range of undergraduate and graduate programs at Stony Brook University, with 12 academic schools to choose from.","[{'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Apr 2024)', 'Fees': 'INR 20.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, GRE: 309.0, PTE: 53.0, GMAT: 550.0'}, {'Program Type': 'M.S Finance (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (15th Apr 2024)\nApplication Deadline For Spring Intake (1st Nov 2024)', 'Fees': 'INR 20.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, GRE: 309.0, PTE: 53.0'}, {'Program Type': 'M.S Computer Engineering (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (5th May 2024)', 'Fees': 'INR 20.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, GRE: 309.0, PTE: 53.0'}, {'Program Type': 'M.S Electrical and Computer Engineering (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (5th May 2024)', 'Fees': 'INR 20.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, GRE: 309.0, PTE: 53.0'}, {'Program Type': 'B.S Computer Science (4 years)', 'Important Dates': 'Early Action Application Deadline (15th Oct 2024)', 'Fees': 'INR 22.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, SAT: 1335.0, ACT: 30.0, PTE: 53.0'}, {'Program Type': 'M.S Technology Management (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (5th May 2024)', 'Fees': 'INR 20.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, GRE: 309.0, PTE: 53.0'}]","[{'Course Name': 'Master of Science [M.S] Finance', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Apr, 2024', 'Application Fees': 'INR 20.4 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 20.4 L/Yr'}]"
Usa,"Florida State University, Tallahassee","Florida, Usa","{'Tuition Fees': '₹22.29L/Yr\xa0($26,752/Yr)', 'Living Fees': '₹8.72L/Yr\xa0($10,458/Yr)'}",M.S Computer Science,"GRE- 295.0, IELTS- 6.5, PTE- 55.0","Florida State University: Ranking, Courses, Fees, Admission & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72033 logo.jpg?h=90&w=90&mode=stretch,"{'Location': 'Tallahassee, Florida', 'School type': 'University'}",8.7,"Florida State Institution is a public research university. FSU campus is divided into 16 colleges and more than 110 centers, facilities, labs, and institutes that offer more than 360 programs of study, including professional school programs. Florida State University has extremely competitive admission criteria, with an acceptance rate of roughly 33.47%.","[{'Program Type': 'M.S Computer Science (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st Sep 2024)', 'Fees': 'INR 27.8 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 55.0, GRE: 295.0'}, {'Program Type': 'M.P.H (3 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)\nApplication Deadline For Spring Intake (1st Nov 2024)', 'Fees': 'INR 27.8 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 55.0'}, {'Program Type': 'M.B.A (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)\nApplication Deadline For Spring Intake (1st Oct 2024)', 'Fees': 'INR 27.8 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 55.0, GMAT: 540.0'}, {'Program Type': 'M.S Management Information Systems (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)\nApplication Deadline For Spring Intake (1st Oct 2024)', 'Fees': 'INR 27.8 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 55.0'}, {'Program Type': 'M.S Electrical Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)\nApplication Deadline For Spring Intake (1st Nov 2024)', 'Fees': 'INR 27.8 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 55.0'}, {'Program Type': 'M.Sc Information Technology (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jul 2024)\nApplication Deadline For Spring Intake (1st Nov 2024)', 'Fees': 'INR 27.8 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 55.0'}]","[{'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Sep, 2024', 'Application Fees': 'INR 27.8 L/Yr'}, {'Course Name': 'Master of Science [M.S] Statistics', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Jul, 2024', 'Application Fees': 'INR 27.8 L/Yr'}]"
Usa,"University of South Florida, Tampa","Florida, Usa","{'Tuition Fees': '₹9.87L/Yr\xa0($11,847/Yr)', 'Living Fees': '₹6.81L/Yr\xa0($8,176/Yr)'}",M.S Computer Science,"Duolingo- 105.0, IELTS- 6.5, PTE- 53.0","University of South Florida (USF) Rankings, Campus, Courses, Admissions 2024, Cost, Scholarships, Placements & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2105_13-12:23_usf-logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Tampa, Florida', 'School type': 'University', 'Established Year': 'Estd1956'}",8,"University of South Florida, also known as USF is a public research university in Tampa, Florida, established in 1956. USF is the 4th largest research university in USA. University of South Florida campuses are home to nearly 50,000 students including over 5,000 international students hailing from 146 countries. Students are offered over 200 undergraduate courses and 150 graduate courses in University of South Florida Tampa.","[{'Program Type': 'M.S Computer Science (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Sep 2024)\nApplication Deadline For Fall 2025 Intake (15th Jan 2025)', 'Fees': 'INR 10.6 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 105.0'}, {'Program Type': 'M.S Business Analytics/Information Systems (1 year)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (1st Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Oct 2024)\nApplication Deadline For Summer 2025 Intake (15th Feb 2025)', 'Fees': 'INR 10.6 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 105.0'}, {'Program Type': 'M.P.H (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (1st May 2024)', 'Fees': 'INR 8.7 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 105.0'}, {'Program Type': 'M.S Business Analytics and Information Systems (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (1st Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Oct 2024)\nApplication Deadline For Summer 2025 Intake (15th Feb 2025)', 'Fees': 'INR 10.6 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 110.0, GRE: 321.0'}, {'Program Type': 'M.B.A Analytics and Business Intelligence (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (1st Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Oct 2024)', 'Fees': 'INR 10.6 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 105.0, GMAT: 500.0'}, {'Program Type': 'M.S Information Technology (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (1st Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Oct 2024)\nApplication Deadline For Summer 2025 Intake (15th Feb 2025)', 'Fees': 'INR 10.6 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 105.0'}]","[{'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Sep, 2024', 'Application Fees': 'INR 10.6 L/Yr'}, {'Course Name': 'Master of Science [M.S] Business Analytics and Information Systems', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Jun, 2024', 'Application Fees': 'INR 10.6 L/Yr'}]"
Usa,"Brandeis University, Waltham","Massachusetts, Usa","{'Tuition Fees': '₹41.03L/Yr\xa0($49,232/Yr)', 'Living Fees': '₹12.42L/Yr\xa0($14,906/Yr)'}",M.S Finance,"TOEFL- 100.0, PTE- 68.0","Brandeis University: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72005 Logo.jpg?h=90&w=90&mode=stretch,"{'Location': 'Waltham, Massachusetts', 'School type': 'University', 'Established Year': 'Estd1948'}",6.5,,,"[{'Course Name': 'Master of Science [M.S] Finance', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 24.4 L/Yr'}, {'Course Name': 'Master of Science [M.S] Biotechnology', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 24.4 L/Yr'}]"
Uae,"Khalifa University, Abu Dhabi","Abu Dhabi, Uae","{'Tuition Fees': '₹25.33L/Yr\xa0(د.إ111,538/Yr)'}",M.S Computer Science,"GRE- 300.0, IELTS- 6.5","Khalifa University: Courses, Cost, Campus, Accommodation, Admissions & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_3592_28-11:19_khalifa.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Abu Dhabi, Abu Dhabi', 'School type': 'University', 'Established Year': 'Estd2007'}",,"Khalifa University is the topmost university of UAE offering a diverse range of courses through the College of Engineering, College of Arts & Science and the College of Medicine and Health Sciences. Notably, Khalifa has been ranked as the #1 university in the UAE in 2019, 2020, and 2021.","[{'Program Type': 'B.S Computer Science (4 years)', 'Important Dates': 'Application Deadline For 2024 Intake (2nd Jun 2024)', 'Fees': 'INR 17 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, SAT: 1400.0'}, {'Program Type': 'M.S Computer Science (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (5th Nov 2024)', 'Fees': 'INR 34.1 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 91.0, GRE: 300.0'}, {'Program Type': 'B.S Computer Engineering (4 years)', 'Important Dates': 'Application Deadline For 2024 Intake (2nd Jun 2024)', 'Fees': 'INR 17 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, SAT: 1400.0'}, {'Program Type': 'M.S Chemical Engineering (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (5th Nov 2024)', 'Fees': 'INR 34.1 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 91.0, GRE: 300.0'}, {'Program Type': 'B.S Civil Engineering (4 years)', 'Important Dates': 'Application Deadline For 2024 Intake (2nd Jun 2024)', 'Fees': 'INR 17 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, SAT: 1400.0'}, {'Program Type': 'M.S Mechanical Engineering (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (5th Nov 2024)', 'Fees': 'INR 34.1 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 91.0, GRE: 300.0'}]","[{'Course Name': 'Bachelor of Science [B.S] Computer Science', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '02 Jun, 2024', 'Application Fees': 'INR 17 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '05 Nov, 2024', 'Application Fees': 'INR 34.1 L/Yr'}]"
Italy,"Humanitas University, Pavia","Lombardy, Italy","{'Tuition Fees': '₹9.2L/Yr\xa0(€10,156/Yr)', 'Living Fees': '₹13.59L/Yr\xa0(€15,000/Yr)'}",M.D Medicine and Surgery,,"Humanitas University: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_3628_28-11:57_HU_Logo2.png?h=90&w=90&mode=stretch,"{'Location': 'Pavia, Lombardy', 'School type': 'University', 'Established Year': 'Estd2014'}",,"Humanitas University has gained a stellar reputation across the globe for its exceptional degrees in life sciences, and medicine. Recognised as the largest international Medical School in Italy, the university hosts over 2000 students from over 31 countries worldwide. Humanitas offers a plethora of UG and PG programs in the field of medicine, physiotherapy, nursing and biomedical engineering.",,"[{'Course Name': 'Doctor of Medicine [M.D] Medicine and Surgery', 'Course Duration': '6 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 9.2 L/Yr'}, {'Course Name': 'Doctor of Medicine [M.D] Biomedical Engineering', 'Course Duration': '6 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 9.2 L/Yr'}]"
Canada,"Dalhousie University, Halifax","Nova Scotia, Canada","{'Tuition Fees': '₹15.78L/Yr\xa0(CA$25,744/Yr)', 'Living Fees': '₹9.34L/Yr\xa0(CA$15,248/Yr)'}",M.C.S,"GRE- 300.0, TOEFL- 92.0, PTE- 65.0","Dalhousie University: Ranking, Courses, Campus, Fees, Admission 2024 & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_22_25-11:43_dal-logo-new-b-w.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Halifax, Nova Scotia', 'School type': 'University', 'Established Year': 'Estd1818'}",7.8,"Dalhousie University is a large public research university in Nova Scotia, Canada. Founded in 1818, the university is one of Canada’s oldest and most prestigious university. Dalhousie University has 3 campuses in Halifax, one in Bible Hill, and another in Saint John, New Brunswick. It is ranked #298 internationally and 12th among Canadian universities in the QS World University Ranking 2024. ","[{'Program Type': 'M.S Chemistry (2 years)', 'Important Dates': 'Application Deadline for May 2025 Intake (31st Dec 2024)', 'Fees': 'INR 11.2 L/Yr', 'Exams Score': 'TOEFL: 92.0, IELTS: 7.0, GRE: 300.0, PTE: 65.0'}]","[{'Course Name': 'Master of Computer Science [M.C.S]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 11.2 L/Yr'}, {'Course Name': 'Master of Science [M.S] Health Administration', 'Course Duration': '16 months', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 11.2 L/Yr'}]"
Australia,"Flinders University, Adelaide","South Australia, Australia","{'Tuition Fees': '₹19.58L/Yr\xa0(A$35,708/Yr)', 'Living Fees': '₹3.78L/Yr\xa0(A$6,900/Yr)'}",M.Ed,"TOEFL- 60.0, PTE- 50.0","Flinders University Campus, Courses, Rankings, Admissions 2024, Fees, Scholarships, Placements & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_589_29-10:34_Flinders-University.png?h=90&w=90&mode=stretch,"{'Location': 'Adelaide, South Australia', 'School type': 'University', 'Established Year': 'Estd1966'}",7.4,"Flinders University is a top public university in Adelaide, Australia, established in 1966. Flinders University campus is home to over 25,000 students. This includes over 4,500 international students hailing from around the globe. The university offers approximately 500+ undergraduate, graduate, and doctoral programs through its 6 colleges.","[{'Program Type': 'M.Ed (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (7th Jun 2024)', 'Fees': 'INR 19.4 L/Yr', 'Exams Score': 'TOEFL: 60.0, IELTS: 6.0, PTE: 50.0'}, {'Program Type': 'M.P.H (18 months)', 'Important Dates': 'Application Deadline For 2024 Intake (7th Jun 2024)', 'Fees': 'INR 19.5 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0'}, {'Program Type': 'M.S.W (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (7th Jun 2024)', 'Fees': 'INR 20.4 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0'}, {'Program Type': 'M.S Chemistry (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (7th Jun 2024)', 'Fees': 'INR 22.9 L/Yr', 'Exams Score': 'TOEFL: 60.0, IELTS: 6.0, PTE: 50.0'}, {'Program Type': 'M.A Biotechnology (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (7th Jun 2024)', 'Fees': 'INR 22.6 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0'}, {'Program Type': 'M.B.A (18 months)', 'Important Dates': 'Application Deadline For 2024 Intake (7th Jun 2024)', 'Fees': 'INR 21.6 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0'}]","[{'Course Name': 'Master of Social Work [M.S.W]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '07 Jun, 2024', 'Application Fees': 'INR 20.4 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '07 Jun, 2024', 'Application Fees': 'INR 21.4 L/Yr'}]"
Australia,"University of South Australia, Adelaide","South Australia, Australia","{'Tuition Fees': '₹18.82L/Yr\xa0(A$34,315/Yr)', 'Living Fees': '₹4.92L/Yr\xa0(A$8,970/Yr)'}",M.S.W,"IELTS- 7.0, PTE- 94.0","University of South Australia [UNISA] Rankings, Campus, Programs, Admissions 2024, Cost, Scholarships, Placements & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_591_28-17:45_uni-of-south-aus.png?h=90&w=90&mode=stretch,"{'Location': 'Adelaide, South Australia', 'School type': 'University', 'Established Year': 'Estd1991'}",7.5,"University of South Australia is a public research university, established in 1991. Currently, University of South Australia campus exhibits a student population of over 37,500, including more than 5,500 international students. Prospective students can choose from more than 200 undergraduate and graduate degree programs in University of South Australia along with various other courses. ","[{'Program Type': 'M.S.W (24 months)', 'Important Dates': 'Semester 2 Application Deadline For 2024 Intake (15th Apr 2024)', 'Fees': 'INR 18.6 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 65.0, PTE: 94.0'}, {'Program Type': 'M.S Data Science (2 years)', 'Important Dates': 'Semester 2 Application Deadline For 2024 Intake (15th Apr 2024)', 'Fees': 'INR 21.1 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 58.0'}, {'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Semester 2 Application Deadline For 2024 Intake (15th Apr 2024)', 'Fees': 'INR 24 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 58.0, GMAT: 550.0'}, {'Program Type': 'M.Eng Engineering Management (2 years)', 'Important Dates': 'Semester 2 Application Deadline For 2024 Intake (15th Apr 2024)', 'Fees': 'INR 21.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 58.0'}, {'Program Type': 'M.S Clinical Pharmacy (1 year)', 'Important Dates': 'Semester 2 Application Deadline For 2024 Intake (15th Apr 2024)', 'Fees': 'INR 20.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 60.0, PTE: 50.0'}, {'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Semester 2 Application Deadline For 2024 Intake (15th Apr 2024)', 'Fees': 'INR 24 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 58.0'}]","[{'Course Name': 'Master of Science [M.S] Data Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Apr, 2024', 'Application Fees': 'INR 21.1 L/Yr'}, {'Course Name': 'Master of Social Work [M.S.W]', 'Course Duration': '24 months', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Apr, 2024', 'Application Fees': 'INR 18.6 L/Yr'}]"
Australia,"Western Sydney University, Sydney","New South Wales, Australia","{'Tuition Fees': '₹18.1L/Yr\xa0(A$33,008/Yr)', 'Living Fees': '₹6.64L/Yr\xa0(A$12,105/Yr)'}",M.B.A,"TOEFL- 82.0, PTE- 58.0","Western Sydney University Rankings, Courses, Admissions 2024, Cost, Scholarships, Placements & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_622_28-18:25_western_sydney_university_logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Sydney, New South Wales', 'School type': 'University', 'Established Year': 'Estd1989'}",7.7,,,"[{'Course Name': 'Bachelor of Nursing [B.N]', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 19 L/Yr'}, {'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 19.2 L/Yr'}]"
