College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
Germany,"Leipzig University, Leipzig","Saxony, Germany","{'Tuition Fees': '₹90.6K/Yr\xa0(€1,000/Yr)'}",M.B.A Small Enterprise Promotion...,"GMAT- 550.0, TOEFL- 79.0","University of Leipzig, Germany – Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_682_02-13:01_682.png?h=90&w=90&mode=stretch,"{'Location': 'Leipzig, Saxony', 'School type': 'University', 'Established Year': 'Estd1409'}",,"Founded in 1409, the University of Leipzig is one of the oldest universities in Germany. It is a member of the German U15 network of universities. Currently, the University is home to around 30,000 students. Around 7,000 students apply for admission to University of Leipzig each year. International students comprise of 12% of the total student population.",,"[{'Course Name': 'Master of Business Administration [M.B.A] Small Enterprise Promotion and Training', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 90,590/Yr'}, {'Course Name': 'Bachelor of Science [B.S] International Physics Studies Programme', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 90,590/Yr'}]"
Uk,"Ulster University, Belfast","Northern Ireland, Uk","{'Tuition Fees': '₹16.96L/Yr\xa0(£16,076/Yr)', 'Living Fees': '₹4.1L/Yr\xa0(£3,885/Yr)'}",M.Sc Nursing,"IELTS- 6.0, PTE- 66.0","Ulster University, UK: Ranking, Programs, Application Deadlines, Admission, Fees, Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_789_02-14:07_789.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Belfast, Northern Ireland', 'School type': 'University', 'Established Year': 'Estd1968'}",7.2,"Located in London, Ulster University is a place of research, discovery, expression and innovation. Established in 1968, the university's areas of excellence span seven schools along with research institutes, arts and athletics. The institute is one of the best UK universities for international students which is evident in its student body representation which consists of nearly 12% international population.","[{'Program Type': 'B.S Nursing - Adult (3 years)', 'Important Dates': 'Application Deadline For Sem1 Intake (30th Jun 2024)\nApplication Deadline For Sem2 Intake (30th Nov 2024)', 'Fees': 'INR 17.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, PTE: 66.0'}, {'Program Type': 'M.Sc Nursing (1 year)', 'Important Dates': 'Application Deadline For Sem1 Intake (30th Jun 2024)\nApplication Deadline For Sem2 Intake (30th Nov 2024)', 'Fees': 'INR 18 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, PTE: 66.0'}, {'Program Type': 'B.S Nursing - Mental Health (3 years)', 'Important Dates': 'Application Deadline For Sem1 Intake (30th Jun 2024)\nApplication Deadline For Sem2 Intake (30th Nov 2024)', 'Fees': 'INR 17.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, PTE: 66.0'}, {'Program Type': 'M.Sc International Business (15 months)', 'Important Dates': 'Application Deadline For Sem1 Intake (30th Jun 2024)\nApplication Deadline For Sem2 Intake (30th Nov 2024)', 'Fees': 'INR 18 L/Yr', 'Exams Score': 'IELTS: 6.0'}, {'Program Type': 'M.Sc Management (1 year)', 'Important Dates': 'Application Deadline For Sem1 Intake (30th Jun 2024)\nApplication Deadline For Sem2 Intake (30th Nov 2024)', 'Fees': 'INR 20.2 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, PTE: 66.0'}, {'Program Type': 'M.Ed Education with Specialisms (3 years)', 'Important Dates': 'Application Deadline For Sem1 Intake (30th Jun 2024)\nApplication Deadline For Sem2 Intake (30th Nov 2024)', 'Fees': 'INR 18 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 80.0, PTE: 66.0'}]","[{'Course Name': 'Bachelor of Science [B.S] Nursing - Adult', 'Course Duration': '3 years', 'Course Degree': 'Honours', 'Course Language': 'English', 'Application Date': '30 Jun, 2024', 'Application Fees': 'INR 17.2 L/Yr'}, {'Course Name': 'Master of Science [M.Sc] Nursing', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '30 Jun, 2024', 'Application Fees': 'INR 18 L/Yr'}]"
Usa,"Oregon State University, Corvallis","Oregon, Usa","{'Tuition Fees': '₹29.9L/Yr\xa0($35,878/Yr)', 'Living Fees': '₹14.77L/Yr\xa0($17,721/Yr)'}",M.Eng Computer Science,IELTS- 6.5,"Oregon State University Ranking, Campus, Courses, Admission 2024, Fees, Scholarships & Placements",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72083 logo.png?h=90&w=90&mode=stretch,"{'Location': 'Corvallis, Oregon', 'School type': 'University', 'Established Year': 'Estd1856'}",6.5,"Oregon State University is a public land-grant university in USA, established in 1868. Oregon State University campus is home to over 35,000 students including international candidates from 107 countries. Students can choose from over 200 courses in Oregon State University across 11 colleges.","[{'Program Type': 'B.Bus Business Analytics (4 years)', 'Important Dates': 'Application Deadline For Summer Intake (17th Jun 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0'}, {'Program Type': 'B.S Computer Science (4 years)', 'Important Dates': 'Application Deadline For Summer Intake (17th Jun 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0'}, {'Program Type': 'B.S Architectural Engineering (4 years)', 'Important Dates': 'Application Deadline For Summer Intake (17th Jun 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0'}, {'Program Type': 'B.S Physics (4 years)', 'Important Dates': 'Application Deadline For Summer Intake (17th Jun 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0'}, {'Program Type': 'B.S Management (4 years)', 'Important Dates': 'Application Deadline For Summer Intake (17th Jun 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0'}, {'Program Type': 'Graduate Certificate Supply Chain and Logistics Management (1 year)', 'Important Dates': 'Application Deadline For Summer Intake (17th Jun 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 91.0'}]","[{'Course Name': 'Master of Engineering [M.Eng] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 27.9 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 27.4 L/Yr'}]"
Singapore,"Singapore Management University, Singapore","Singapore, Singapore","{'Tuition Fees': '₹36.31L/Yr\xa0(S$58,825/Yr)', 'Living Fees': '₹10.96L/Yr\xa0(S$17,760/Yr)'}",M.B.A,"GMAT- 660.0, IELTS- 6.0, PTE- 55.0","Singapore Management University [SMU] Rankings, Courses, Admissions, Cost of Attendance, Scholarships & Placements",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_768_29-12:00_smu.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Singapore, Singapore', 'School type': 'University', 'Established Year': 'Estd2000'}",7.9,"The Singapore Management University was established in 2000. It is a public research university located in the Downtown Area of Singapore. It is an autonomous university established as being the third one in Singapore. It is a home to 11,000+ undergraduates and postgraduates. 58% international students enrolled in masters program, come from 50 different nations to study in Singapore.","[{'Program Type': 'M.B.A (1 year)', 'Important Dates': 'Application Deadline For August Intake Round 3 (31st May 2024)\nApplication Deadline For January 2025 Intake Round 1 (15th Jul 2024)\nApplication Deadline For January 2025 Intake 2 (31st Oct 2024)', 'Fees': 'INR 47.1 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 82.0, PTE: 55.0, GMAT: 660.0'}]","[{'Course Name': 'Bachelor Business Management', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15.5 L/Yr'}, {'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '31 May, 2024', 'Application Fees': 'INR 47.1 L/Yr'}]"
Usa,"Lehigh University, Bethlehem","Pennsylvania, Usa","{'Tuition Fees': '₹44.07L/Yr\xa0($52,886/Yr)', 'Living Fees': '₹10.93L/Yr\xa0($13,120/Yr)'}",M.S Computer Engineering,IELTS- 6.5,"Lehigh University: Ranking, Courses, Fees , Admission & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72053 logo.jpg?h=90&w=90&mode=stretch,"{'Location': 'Bethlehem, Pennsylvania', 'School type': 'University'}",8.8,Table of Contents,,"[{'Course Name': 'Bachelor of Science [B.S] Computer Science and Business', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 51 L/Yr'}, {'Course Name': 'Master of Science [M.S] Financial Engineering', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 38.6 L/Yr'}]"
Uk,"University of Huddersfield, Huddersfield","England, Uk","{'Tuition Fees': '₹18.68L/Yr\xa0(£17,710/Yr)'}",M.Sc Data Analytics,IELTS- 6.5,"University of Huddersfield [HUD] Huddersfield Courses, Ranking, Admission Criteria, Fee & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_820_31-20:05_4.png?h=90&w=90&mode=stretch,"{'Location': 'Huddersfield, England', 'School type': 'University', 'Established Year': 'Estd1992'}",9,"The application process for University of Huddersfield is quite similar to other universities. Students can look below to know in detail about the same. 
Application Portal: Online Application Form
Supporting Documents. ",,"[{'Course Name': 'Master of Science [M.Sc] Automotive Engineering', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 19.7 L/Yr'}, {'Course Name': 'Master of Science [M.Sc] Information Systems Management (with Placement)', 'Course Duration': '18 months', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 19.7 L/Yr'}]"
Usa,"University of Missouri, Columbia","Missouri, Usa","{'Tuition Fees': '₹22.31L/Yr\xa0($26,769/Yr)', 'Living Fees': '₹8.9L/Yr\xa0($10,676/Yr)'}",M.S Data Science and Analytics,"GRE- 296.0, IELTS- 6.5, PTE- 59.0","University of Missouri [Mizzou]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1184_30-13:00_download-(1).jpeg?h=90&w=90&mode=stretch,"{'Location': 'Columbia, Missouri', 'School type': 'University', 'Established Year': 'Estd1839'}",8.3,"University of Missouri is a Public research university with an annual acceptance rate of 78%. It is accredited by the Higher learning commission. The university enrols around 19,000 students with international students coming from over 100 countries. The university is the largest amongst the institutions in Missouri and follows the semester based calendar.",,"[{'Course Name': 'Master of Science [M.S] Data Science and Analytics', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 19.3 L/Yr'}, {'Course Name': 'Master of Public Health [M.P.H]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 19.3 L/Yr'}]"
Australia,"Central Queensland University, Rockhampton","Queensland, Australia","{'Tuition Fees': '₹19.35L/Yr\xa0(A$35,292/Yr)'}",M.Eng,"IELTS- 6.0, PTE- 54.0","Central Queensland University [CQU]: Rankings, Courses, Admissions Process, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_616_02-18:20_cq2.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Rockhampton, Queensland', 'School type': 'University', 'Established Year': 'Estd1967'}",7.1,"Central Queensland University (est.1967) is a dual-sector university in Rockhampton of Australia. It has 24 campuses across Australia offering more than 300 UG and PG programs in the fields of Health, Business, Education, Law, Psychology, Arts, and others. The university has around 30,000 students from 70 countries across the globe coming for higher education in Australia.","[{'Program Type': 'M.Eng (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (24th Jun 2024)\nApplication Deadline For Term 3 2024 Intake (21st Oct 2024)', 'Fees': 'INR 20.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 75.0, PTE: 54.0'}, {'Program Type': 'M.P.M (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (24th Jun 2024)\nApplication Deadline For Term 3 2024 Intake (21st Oct 2024)', 'Fees': 'INR 18.7 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 75.0, PTE: 54.0'}, {'Program Type': 'M.I.T (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (24th Jun 2024)\nApplication Deadline For Term 3 2024 Intake (21st Oct 2024)', 'Fees': 'INR 19.6 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 75.0, PTE: 54.0'}, {'Program Type': 'M.B.A (3 years)', 'Important Dates': 'Application Deadline For 2024 Intake (24th Jun 2024)\nApplication Deadline For Term 3 2024 Intake (21st Oct 2024)', 'Fees': 'INR 18.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 75.0, PTE: 54.0'}, {'Program Type': 'B.N (3 years)', 'Important Dates': 'Application Deadline 1 For 2024 Intake (31st May 2024)\nApplication Commencement 2 For 2024 Intake (8th Jul 2024)\nApplication Deadline 2 For 2024 Intake (4th Oct 2024)\nApplication Commencement 3 For 2024 Intake (4th Nov 2024)', 'Fees': 'INR 19.3 L/Yr', 'Exams Score': 'IELTS: 6.0, PTE: 54.0, TOEFL: 75.0'}, {'Program Type': 'M.Bus (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake (24th Jun 2024)\nApplication Deadline For Term 3 2024 Intake (21st Oct 2024)', 'Fees': 'INR 18.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 75.0, PTE: 54.0, GMAT: 650.0'}]","[{'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '3 years', 'Course Degree': 'Online, On Campus', 'Course Language': 'English', 'Application Date': '24 Jun, 2024', 'Application Fees': 'INR 18.9 L/Yr'}, {'Course Name': 'Master of Information Technology [M.I.T]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '24 Jun, 2024', 'Application Fees': 'INR 19.6 L/Yr'}]"
Uk,"Manchester Metropolitan University, Manchester","England, Uk","{'Tuition Fees': '₹19.58L/Yr\xa0(£18,563/Yr)', 'Living Fees': '₹6.87L/Yr\xa0(£6,510/Yr)'}",M.Sc Data Science,"IELTS- 6.0, PTE- 61.0","Manchester Metropolitan University [MMU]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_854_02-11:48_4.png?h=90&w=90&mode=stretch,"{'Location': 'Manchester, England', 'School type': 'University', 'Established Year': 'Estd1843'}",6.8,,"[{'Program Type': 'M.Sc Data Science (1 year)', 'Important Dates': 'Application Deadline For October Intake (7th Jul 2024)\nApplication Deadline For September Intake (7th Jul 2024)', 'Fees': 'INR 20 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 61.0'}, {'Program Type': 'M.B.A (1 year)', 'Important Dates': 'Application Deadline For October Intake (7th Jul 2024)\nApplication Deadline For September Intake (7th Jul 2024)', 'Fees': 'INR 20 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 61.0'}, {'Program Type': 'M.Sc Logistics and Supply Chain Management (1 year)', 'Important Dates': 'Application Deadline For October Intake (7th Jul 2024)\nApplication Deadline For September Intake (7th Jul 2024)', 'Fees': 'INR 20 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 61.0'}, {'Program Type': 'M.A Graphic Design and Art Direction MFA (1 year)', 'Important Dates': 'Application Deadline For October Intake (7th Jul 2024)\nApplication Deadline For September Intake (7th Jul 2024)', 'Fees': 'INR 20 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 61.0'}, {'Program Type': 'M.Sc Artificial Intelligence (1 year)', 'Important Dates': 'Application Deadline For October Intake (7th Jul 2024)\nApplication Deadline For September Intake (7th Jul 2024)', 'Fees': 'INR 20 L/Yr', 'Exams Score': 'IELTS: 6.5'}, {'Program Type': 'M.Sc Engineering Management (1 year)', 'Important Dates': 'Application Deadline For October Intake (7th Jul 2024)\nApplication Deadline For September Intake (7th Jul 2024)', 'Fees': 'INR 20 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 61.0'}]","[{'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '07 Jul, 2024', 'Application Fees': 'INR 20 L/Yr'}, {'Course Name': 'Master of Science [M.Sc] Data Science', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '07 Jul, 2024', 'Application Fees': 'INR 20 L/Yr'}]"
Uk,"Nottingham Trent University, Nottingham","England, Uk","{'Tuition Fees': '₹17.47L/Yr\xa0(£16,564/Yr)', 'Living Fees': '₹15.57L/Yr\xa0(£14,757/Yr)'}",M.Sc International Business,"GMAT- 590.0, TOEFL- 81.0, PTE- 62.0","Nottingham Trent University [NTU] Courses, Campus, Rankings, Admissions 2024, Cost, Scholarships, Placements & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_862_02-11:50_12.png?h=90&w=90&mode=stretch,"{'Location': 'Nottingham, England', 'School type': 'University', 'Established Year': 'Estd1843'}",6.6,"Nottingham Trent University is a top ranked university in UK, established in 1843. NTU is currently home to over 40,000 students including 4,000 international students from over 120 countries. You can pursue 1,330 courses in Nottingham Trent University across different academic levels.","[{'Program Type': 'B.S Cyber Security (3 years)', 'Important Dates': 'Application Deadline for 2024 Intake (30th Jun 2024)', 'Fees': 'INR 17.4 L/Yr', 'Exams Score': 'TOEFL: 81.0, IELTS: 6.5, GRE: 308.0, PTE: 62.0'}, {'Program Type': 'B.S Physics and Mathematics (3 years)', 'Important Dates': 'Application Deadline for 2024 Intake (30th Jun 2024)', 'Fees': 'INR 17.4 L/Yr', 'Exams Score': 'TOEFL: 81.0, IELTS: 6.5, GRE: 308.0, PTE: 62.0'}, {'Program Type': 'B.S Mathematics with Statistics (with Foundation Year) (3 years)', 'Important Dates': 'Application Deadline for 2024 Intake (30th Jun 2024)', 'Fees': 'INR 17.4 L/Yr', 'Exams Score': 'TOEFL: 81.0, IELTS: 6.5, GRE: 308.0, PTE: 62.0'}, {'Program Type': 'B.S Computer Science (Artificial Intelligence) (3 years)', 'Important Dates': 'Application Deadline for 2024 Intake (30th Jun 2024)', 'Fees': 'INR 17.4 L/Yr', 'Exams Score': 'TOEFL: 81.0, IELTS: 6.5, GRE: 308.0, PTE: 62.0'}, {'Program Type': 'B.S Mathematics with Statistics (3 years)', 'Important Dates': 'Application Deadline for 2024 Intake (30th Jun 2024)', 'Fees': 'INR 17.4 L/Yr', 'Exams Score': 'TOEFL: 81.0, IELTS: 6.5, GRE: 308.0, PTE: 62.0'}, {'Program Type': 'B.S Management (3 years)', 'Important Dates': 'Application Deadline for 2024 Intake (30th Jun 2024)', 'Fees': 'INR 17.4 L/Yr', 'Exams Score': 'TOEFL: 81.0, IELTS: 6.5, GRE: 308.0, PTE: 62.0'}]","[{'Course Name': 'Master of Science [M.Sc] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 22.6 L/Yr'}, {'Course Name': 'Master of Science [M.S] Cyber Security', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 20.1 L/Yr'}]"
