College Name,Logo URL,Upper Section Details,College Rating,College Summary,Fees and Eligibility,Courses Details
Nar Bahadur Bhandari Degree College,https://images.collegedunia.com/public/college_data/images/logos/1427533854186.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': '', 'Establishment': '', 'University Type': 'Private Institute'}",7.6,"Nar Bahadur Bhandari Degree College, previously known as Sikkim Government College was founded in the year 1977. It is governed by the Directorate of Higher Education, HRDD, Govt. of Sikkim and is affiliated to Sikkim University. The college offers 19 UG programs and 5 PG programs to satisfy the need for quality education in Sikkim. Admission to the programs takes place following an administered and transparent process. Its campus is spread over 22 acres with well-organized classrooms, labs, computers to create a conducive academic environment.",--------------,"[{'CN': 'Bachelor of Commerce [B.Com] {Hons.}', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '1 Reviews', 'EA': '-', 'AD': '-', 'AF': '₹ 1,6921st Yr Fees'}, {'CN': 'Bachelor of Arts [BA] {Hons.}', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.3', 'EA': '-', 'AD': '-', 'AF': '₹ 1,5921st Yr Fees'}, {'CN': 'Master of Science [M.Sc] (Physics)', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Science [B.Sc] {Hons.}', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '6.8', 'EA': '-', 'AD': '-', 'AF': '₹ 1,7921st Yr Fees'}, {'CN': 'Master of Arts [MA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': ''}]"
Himalayan Pharmacy Institute,https://images.collegedunia.com/public/college_data/images/logos/1425361216col9489.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, PCI', 'Establishment': 'Estd 2007', 'University Type': 'Private'}",7.4,,--------------,"[{'CN': 'Bachelor of Pharmacy [B.Pharma]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.4', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Diploma in Pharmacy [D.Pharm]', 'CY': '2 Years', 'CD': 'Diploma', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.0', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Master of Pharmacy [M.Pharm]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': 'Rated #98\n          out of 125\n          by\n        NIRF in Pharmacy', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': ''}]"
"Sikkim Manipal College of Physiotherapy - [SMCPT], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1474012647photo.jpg1.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'IAP', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.5,,--------------,"[{'CN': 'Bachelor of Physiotherapy [BPT]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.7', 'EA': '-', 'AD': '15 Nov - 25 Sept 2024', 'AF': '₹ 156,0001st Yr Fees'}, {'CN': 'Master of Physiotherapy [MPT]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '15 Nov - 25 Sept 2024', 'AF': '₹ 226,0001st Yr Fees'}]"
"Sikkim Manipal College of Nursing - [SMCON], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1626096095smconlogo2020.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'INC', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.1,,--------------,"[{'CN': 'Bachelor of Science [B.Sc] (Nursing)', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.7', 'EA': '-', 'AD': '15 May 2024', 'AF': '₹ 136,0001st Yr Fees'}, {'CN': 'Master of Science [M.Sc]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '1 Reviews', 'EA': '-', 'AD': '15 July 2024', 'AF': '₹ 126,0001st Yr Fees'}]"
"Harkamaya College of Education, East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1423891391p..png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'NCTE, UGC', 'Establishment': 'Estd 2003', 'University Type': 'Private'}",8.2,,--------------,"[{'CN': 'Bachelor of Education [B.Ed]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.7', 'EA': '-', 'AD': '-', 'AF': '₹ 185,000Total Fees'}, {'CN': 'Master of Education [M.Ed]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 185,000Total Fees'}, {'CN': 'Ph.D', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 100,0001st Yr Fees'}]"
"Loyola College of Education, South Sikkim",https://images.collegedunia.com/public/college_data/images/logos/?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': 'NCTE', 'Establishment': '', 'University Type': 'Private'}",,,--------------,"[{'CN': 'Bachelor of Education [B.Ed]', 'CY': '1 Year', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': ''}]"
Sikkim University,https://images.collegedunia.com/public/college_data/images/logos/1394440204Sikkim University.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2007', 'University Type': 'Central University'}",7.9,"Sikkim University is a central university located in Gangtok. Established in 2007, the university is recognised by the UGC and ranked 151 among top 2000 universities in NIRF 2023 rankings. The permanent campus of Sikkim University is built at Yangang in Namchi district, about 56 km from Gangtok.","[{'Course': 'BA', 'Fees': '₹7,282 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'MBA', 'Fees': '₹16,102 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% + CAT'}, {'Course': 'Ph.D', 'Fees': '₹19,822 (1st Year Fees) ', 'Eligibility': 'Post Graduation'}, {'Course': 'M.Sc', 'Fees': '₹7,852 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'MA', 'Fees': '₹5,230 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Sc', 'Fees': '₹7,282 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Com', 'Fees': '₹7,852 (1st Year Fees) ', 'Eligibility': 'Graduation'}]","[{'CN': 'Bachelor of Arts [BA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.3', 'EA': 'CUET', 'AD': '27 Feb - 26 Mar 2024', 'AF': '₹ 7,2821st Yr Fees'}, {'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'CAT', 'AD': '-', 'AF': '₹ 16,1021st Yr Fees'}, {'CN': 'Ph.D', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 19,8221st Yr Fees'}, {'CN': 'Master of Science [M.Sc]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': '₹ 7,8521st Yr Fees'}, {'CN': 'Master of Arts [MA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '4.7', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': '₹ 5,2301st Yr Fees'}]"
IHM Gangtok,https://images.collegedunia.com/public/college_data/images/logos/13941048772q.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 1990', 'University Type': 'Public'}",7.7,"Institute of Hotel Management (IHM), Gangtok was established in the year 1990 as a food craft institute. It was upgraded into the Institute of Hotel Management during the year 2000 and got affiliated to NCHMCT under the Ministry of Tourism, Govt. of India. The institute offers B.Sc. in Hospitality and Hotel Administration, Diploma and Certificate courses. All the programs are well-structured and taught under the guidance of qualified faculties. The degree or Diploma holders get employment in the most reputed hotels in the country and abroad.",--------------,"[{'CN': 'Bachelor of Science [B.Sc] (Hospitality and Hotel Administration)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': 'Rated #37\n          out of 67\n          by\n        India Today in Hotel Management', 'EA': 'NCHMCT JEE', 'AD': '-', 'AF': '₹ 110,0001st Yr Fees'}, {'CN': 'Certificate Course in Cookery', 'CY': '1 Year', 'CD': 'Certification', 'CG': '10+2', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Diploma', 'CY': '1 Year 6 Months', 'CD': 'Diploma', 'CG': '10+2', 'CT': 'Full Time', 'CR': 'Rated #37\n          out of 67\n          by\n        India Today in Hotel Management', 'EA': '-', 'AD': '-', 'AF': '₹ 55,000Total Fees'}, {'CN': 'Craftsmanship Course', 'CY': '6 Months', 'CD': 'Certification', 'CG': '10+2', 'CT': 'Full Time', 'CR': 'Rated #37\n          out of 67\n          by\n        India Today in Hotel Management', 'EA': '-', 'AD': '-', 'AF': '₹ 63,400Total Fees'}]"
"Directorate of Distance Education Sikkim Manipal University - [SMU-DE], East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1536047162ManipalLogo.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.3,Sikkim Manipal University Distance Education [SMU-DE] has been awarded as the “Best University in Distance Learning” by ASSOCHAM India. It has also won Silver Award in Digital Learning Transformation Category in 2018. The university offers total 6 undergraduate and postgraduate level courses in Management and Information Technology in distance mode. SMUDE has a vibrant alumni community with over 5 lakh alumni members. Check out other top distance MBA colleges and courses in India,"[{'Course': 'MCA', 'Fees': '₹36,500 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BCA', 'Fees': '₹32,500 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Sc', 'Fees': '₹40,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'MBA', 'Fees': '₹42,500 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Sc', 'Fees': '₹32,500 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BBA', 'Fees': '₹32,500 (1st Year Fees) ', 'Eligibility': '10+2'}]","[{'CN': 'Master of Computer Applications [MCA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Part Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 36,500*1st Yr Fees'}, {'CN': 'Bachelor of Computer Applications [BCA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Part Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 32,5001st Yr Fees'}, {'CN': 'Master of Science [M.Sc] (Information Technology)', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Part Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 40,0001st Yr Fees'}, {'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Part Time', 'CR': '8.1', 'EA': 'CAT', 'AD': '-', 'AF': '₹ 42,500*1st Yr Fees'}, {'CN': 'Bachelor of Science [B.Sc] (Information Technology)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Part Time', 'CR': '10.0', 'EA': '-', 'AD': '-', 'AF': '₹ 32,5001st Yr Fees'}]"
"Sikkim State University - [SSU], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1584080771sikkimlogonew.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2003', 'University Type': 'State University'}",,"Sikkim University is presently located in Gangtok, the capital town of Sikkim. The permanent campus measuring 300 acres is coming up at Yangang which is about 56 kms away from Gangtok in South Sikkim. The nearest airport is Bagdogra and railway station is New Jalpaiguri. ",--------------,"[{'CN': 'Master of Philosophy [M.Phil]', 'CY': '1 Year', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Ph.D', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}]"
"Sikkim Professional University, West Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1627969475logo.jpg?h=80&w=80&mode=stretch,"{'Place': 'West Sikkim,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2008', 'University Type': 'Private University'}",,,"[{'Course': 'M.Sc', 'Fees': '₹36,000 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% marks'}, {'Course': 'B.Sc', 'Fees': '₹24,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}, {'Course': 'B.Tech', 'Fees': '₹72,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}, {'Course': 'MA', 'Fees': '₹24,000 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% marks'}, {'Course': 'BCA', 'Fees': '₹32,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}, {'Course': 'MBA', 'Fees': '₹70,000 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% marks'}, {'Course': 'BBA', 'Fees': '₹36,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}]","[{'CN': 'Master of Science [M.Sc]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': '₹ 36,0001st Yr Fees'}, {'CN': 'Bachelor of Science [B.Sc]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 24,0001st Yr Fees'}, {'CN': 'Bachelor of Pharmacy [B.Pharma]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 80,0001st Yr Fees'}, {'CN': 'Bachelor of Technology [B.Tech]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 72,0001st Yr Fees'}, {'CN': 'Master of Arts [MA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'CUET PG', 'AD': '26 Dec - 10 Feb 2024', 'AF': '₹ 24,0001st Yr Fees'}]"
"Sikkim Skill University, South Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1669119229download.png?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2021', 'University Type': 'Private University'}",,,--------------,"[{'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Education [B.Ed]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Diploma in Pharmacy [D.Pharm]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Science [B.Sc]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Arts [BA] (English)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}]"
"Medhavi Skills University, East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1671533299c09d1c70e00047c882ff3adf812a283b.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2021', 'University Type': 'Private University'}",8.9,,"[{'Course': 'MBA', 'Fees': '₹1.5 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Sc', 'Fees': '₹90,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'Diploma', 'Fees': '₹90,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'EMBA', 'Fees': '₹1.2 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BBA', 'Fees': '₹80,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BCA', 'Fees': '₹90,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'PG Diploma', 'Fees': '₹80,000 (Total Fees) ', 'Eligibility': 'Graduation'}]","[{'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 150,0001st Yr Fees'}, {'CN': 'Bachelor of Science [B.Sc]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.0', 'EA': '-', 'AD': '-', 'AF': '₹ 90,0001st Yr Fees'}, {'CN': 'Diploma', 'CY': '2 Years', 'CD': 'Diploma', 'CG': '10+2', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 90,0001st Yr Fees'}, {'CN': 'Bachelor of Physiotherapy [BPT]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 90,0001st Yr Fees'}, {'CN': 'Executive Master of Business Administration [EMBA]', 'CY': '2 Years 6 Months', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 120,0001st Yr Fees'}]"
